k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
1,0,9.722,0.078,0,10.53,1,2.166,0,0,0,1,0,0,0
9,0,11.344,-0.656,9,35.742,5,2.42,3,1,2,0,0,0,0
2,0,10.833,-0.862,0,25.194,4,2.351,0,0,0,2,0,0,0
0,0,9.533,0,0,0,1,2,0,0,2,0,0,0,0
0,0,9.768,-0.579,0,21.203,3,2.12,0,0,0,3,0,0,1
6,0,10.578,0,4,0,2,2.349,2,1,0,0,0,0,0
2,0,10.265,-0.185,0,22.384,2,2.393,0,0,0,0,0,0,0
0,0,9.715,0,0,0,0,2.222,4,0,2,2,0,0,0
0,0,9.067,0.787,0,0,0,2.115,2,0,2,0,0,0,0
0,0,10.487,-5.019,0,30.485,7,2.327,4,0,0,0,0,0,1
0,0,8.16,0,0,0,1,1.802,2,0,1,1,0,0,0
5,0,10.837,0,3,21.831,4,2.443,4,0,1,0,0,0,0
0,0,10.202,-0.189,0,21.879,5,2.107,0,0,0,2,0,0,1
4,0,10.89,0,2,0,0,2.424,0,1,0,1,0,0,0
0,0,9.183,0,0,0,0,2.101,0,0,1,0,0,0,0
2,0,10.794,-0.888,0,25.14,4,2.357,0,0,0,4,0,0,1
0,0,4.174,0,0,0,1,1,1,0,0,1,0,0,1
0,0,10.77,0,0,0,3,2.36,0,0,2,5,0,0,0
3,1,10.099,0,2,20.514,3,2.303,1,0,1,1,0,0,0
4,0,10.806,0,2,0,2,2.42,2,0,0,2,0,0,0
0,0,9.723,-1.641,0,20.135,3,2.107,5,0,2,0,0,0,1
4,0,10.679,-0.185,2,12.363,3,2.372,1,0,0,1,0,0,0
0,0,9.59,-1.072,0,21.21,4,2.101,0,0,0,2,0,0,1
4,0,10.813,-3.296,0,44.736,6,2.532,0,0,0,0,0,0,1
2,0,10.632,-0.888,0,24.704,4,2.351,0,0,0,2,0,0,1
4,0,10.764,0,2,22.286,3,2.462,3,0,1,0,0,0,0
2,0,10.62,0,2,0,0,2.404,0,1,0,0,0,0,0
8,0,11.063,0,2,0,4,2.437,0,0,0,4,0,0,0
0,0,9.067,-0.046,0,10.021,2,2.115,0,0,0,0,0,0,1
0,0,8.623,0,0,0,0,2,0,0,1,0,0,0,1
0,0,10.226,-0.186,0,22.106,2,2.424,1,0,1,0,0,0,0
3,0,9.833,0,2,0,0,2.246,0,1,0,1,0,0,0
2,0,9.725,0,1,0,1,2.231,1,0,0,0,0,0,1
0,0,8.16,0,0,0,2,1.802,1,0,0,2,0,0,1
4,2,10.456,0,4,41.432,4,2.38,2,1,3,0,0,0,0
0,0,10.182,0,0,19.844,4,2.264,2,0,1,2,1,0,0
0,0,9.222,-0.662,0,18.567,2,2,4,0,4,0,0,0,0
0,0,8.815,0,0,9.921,3,1.932,0,0,0,0,0,0,0
0,0,8.597,-0.968,0,9.243,2,1.848,3,0,1,1,0,0,1
0,0,9.502,0.292,0,10.5,1,2.214,0,0,1,0,0,0,1
0,0,8.597,0.116,0,0,0,1.848,5,0,3,0,0,1,0
0,0,9.183,0,1,0,1,2.101,1,0,1,0,0,0,1
4,0,11.16,0,2,0,1,2.52,1,1,0,1,0,0,0
3,0,10.185,0,3,0,0,2.236,2,0,3,0,0,0,0
0,0,8.597,0,0,0,1,1.848,1,0,0,3,0,0,1
2,1,9.882,0,1,20.317,2,2.243,0,0,1,1,0,0,0
2,0,10.296,0,0,0,0,2.387,0,0,0,2,0,0,0
0,0,8.755,0,0,0,0,1.902,2,0,2,1,0,0,0
7,0,11.392,0,3,0,1,2.51,1,1,3,6,0,0,0
0,0,10.01,0.025,0,10.299,2,2.149,1,0,0,3,0,0,1
6,0,11.343,0,2,0,1,2.506,1,0,3,6,0,0,0
3,0,10.658,-1.025,0,24.332,4,2.355,0,0,0,1,0,0,1
3,1,10.239,0,1,20.668,2,2.375,1,0,3,0,0,0,0
2,0,9.971,0,0,0,0,2.236,0,0,0,0,0,0,0
18,0,12.308,0,3,0,3,2.525,3,0,0,21,0,0,0
0,0,8.623,0,0,0,0,2,1,0,1,0,0,0,1
0,0,10.724,0,0,0,0,2.412,4,0,2,4,0,0,0
0,0,10.266,0,0,20.532,2,2.376,0,0,6,0,0,0,1
0,0,10.565,0,0,12.174,3,2.264,1,0,0,4,0,0,0
2,0,10.234,0,1,0,2,2.327,0,0,0,1,1,0,0
0,0,10.987,0,0,0,0,2.314,0,0,0,9,0,0,0
4,0,11.1,-1.093,1,11.22,3,2.467,2,0,0,6,0,0,0
0,0,10.681,0,0,0,1,2.394,2,0,1,4,0,0,0
0,0,9.11,0,0,0,4,1.942,1,0,0,2,0,0,1
1,0,9.724,0.209,0,11.013,1,2.214,0,0,0,1,0,0,1
0,0,12.028,0,0,0,0,2.798,0,0,0,2,0,0,0
2,0,9.579,0,1,0,0,2.194,2,0,1,1,0,0,0
1,0,9.665,-0.036,1,10.502,1,2.175,1,0,1,1,0,0,1
2,0,9.631,0,1,0,0,2.2,1,0,1,1,0,0,0
0,0,10.387,0,0,0,0,2.257,0,1,0,3,0,0,0
2,0,10.617,1.361,1,0,0,2.428,1,0,1,3,0,0,0
0,0,10.042,-0.151,0,10.604,1,1.995,2,0,1,1,0,0,0
0,0,8.318,-0.833,0,9,2,1.732,1,0,0,1,0,0,1
2,0,9.896,0,2,0,2,2.208,0,1,0,0,0,0,0
2,0,9.579,0,2,0,0,2.194,0,0,0,0,0,0,0
0,0,8.944,-0.241,0,10.118,2,1.97,0,0,0,1,0,0,1
0,0,7.408,0,0,0,1,1.618,1,0,0,1,0,0,1
0,0,8.597,-0.98,0,9.236,2,1.848,1,0,0,1,0,0,1
2,0,10.299,-0.929,2,10.307,5,2.268,3,0,1,0,0,0,0
4,0,10.707,0,2,0,0,2.343,1,0,1,2,0,0,0
2,0,10.054,0,0,0,1,2.194,0,0,0,0,0,0,0
0,0,8.584,0,0,0,2,1.879,1,0,0,2,0,0,1
5,0,10.265,0,5,0,1,2.365,1,1,0,0,0,0,0
2,0,10.029,0,2,0,2,2.27,0,0,0,2,0,0,0
0,0,10.646,0.953,0,0,3,2.267,0,0,3,0,0,0,0
0,0,10.06,-0.013,0,11.42,2,2.051,0,0,0,2,0,0,1
3,0,9.833,0,3,0,0,2.246,2,1,1,0,0,0,0
0,0,9.967,0,0,0,2,2.189,4,0,1,3,0,0,0
4,2,10.456,0,3,41.425,5,2.38,1,0,2,1,0,0,0
1,0,10.25,0,1,20.777,3,2.288,1,0,0,0,0,0,1
0,0,10.053,-0.608,0,21.357,2,2.336,2,0,2,2,0,0,0
0,0,10.158,1.982,0,11.653,1,2.327,0,0,0,0,0,0,0
3,0,10.361,0,3,0,0,2.279,2,0,2,2,0,0,0
3,0,10.328,0,1,0,1,2.358,1,0,0,4,0,0,0
0,0,8.623,0,0,0,1,2,1,0,1,0,0,0,0
0,0,8.16,0,0,0,2,1.802,2,0,0,2,0,0,1
0,0,9.058,-0.501,0,10.119,3,1.989,1,0,0,1,0,0,1
0,0,9.523,-0.796,0,20.804,4,2.061,0,0,0,0,0,0,1
0,0,9.184,-1.185,0,9.449,3,2,2,0,0,1,0,0,1
2,0,9.947,0,0,10.288,1,2.251,0,0,0,2,0,0,1
4,0,10.06,0,4,0,1,2.307,1,1,0,0,0,0,1
3,1,10.099,0,3,20.337,2,2.292,0,1,1,0,0,0,0
2,0,9.631,0,2,0,1,2.194,1,0,0,0,0,0,0
0,0,8.881,0,0,0,0,1.919,6,0,4,2,0,0,0
0,0,8.623,0,0,0,0,2,0,0,0,0,0,0,0
0,0,10.18,0,0,0,0,2.294,2,1,5,3,0,0,0
0,0,9.292,0,0,0,0,2.074,0,0,1,0,0,0,0
0,0,8.318,0.5,0,0,0,1.732,2,0,1,1,0,0,0
0,0,9.059,0,0,0,2,2,2,0,1,2,0,0,0
4,0,10.907,-0.069,2,23.374,2,2.356,2,0,4,0,0,0,0
0,0,8.318,0,0,0,0,1.732,0,0,1,0,0,0,1
2,0,10.012,0.848,2,0,0,2.364,1,0,1,0,0,0,0
0,0,9.309,-2.514,0,19.107,4,2,2,0,0,0,0,0,1
3,1,10.666,0,2,20.484,2,2.403,0,1,1,1,0,0,0
0,0,9.651,-1.073,0,21.27,4,2.085,0,0,0,2,0,0,1
0,0,11.591,0,0,0,1,2.605,1,0,0,2,0,0,0
0,0,10.099,0,0,0,1,2.303,1,0,0,3,0,0,0
5,0,10.784,-0.321,1,24.433,2,2.518,0,1,0,0,0,0,0
0,0,9.856,-0.444,0,21.128,3,2.288,0,0,0,1,0,0,1
4,0,10.06,0,1,0,1,2.307,1,0,0,3,0,0,0
3,1,10.122,0,3,20.473,2,2.318,0,1,1,0,0,0,0
3,0,10.07,0,2,10.31,3,2.36,0,0,0,0,0,0,1
0,0,10.01,0,0,0,0,2.149,0,0,0,5,0,0,0
0,0,9.209,0,0,0,2,2.152,1,0,0,1,0,0,1
0,0,9.011,-0.914,0,9.753,2,1.95,1,0,0,1,0,0,1
0,0,8.743,0,0,0,1,1.902,0,0,0,2,0,0,0
4,0,10.525,0,4,0,0,2.295,2,0,2,0,0,0,0
4,0,10.767,0,0,0,0,2.406,0,0,2,0,0,0,0
3,0,10.06,0,1,0,1,2.333,1,0,0,0,0,0,1
3,0,10.187,0,0,0,0,2.307,0,0,0,1,0,0,0
2,0,10.59,-0.98,0,23.965,4,2.354,0,0,0,4,0,0,1
1,0,9.391,0,0,0,0,2.149,0,0,0,0,1,0,0
2,0,9.882,-0.986,1,10.231,3,2.236,2,0,0,0,0,0,1
3,0,9.833,0,3,0,0,2.246,2,1,1,0,0,0,0
3,0,10.524,0,1,0,1,2.364,1,0,0,4,0,0,0
0,0,8.891,0,0,0,2,1.932,1,0,0,3,0,0,0
0,0,9.309,-2.153,0,19.281,4,2,2,0,0,0,0,0,1
2,0,9.882,0,0,0,0,2.236,0,0,0,3,0,0,1
0,0,10.903,-1.781,0,37.083,6,2.505,0,0,3,0,0,0,0
2,0,10.388,0,1,20.999,3,2.311,1,0,0,1,0,0,1
1,0,9.391,0,0,0,0,2.149,0,0,1,0,0,0,1
0,0,8.755,-0.738,0,9.587,2,1.902,0,1,0,1,0,0,1
0,0,10.229,0,0,0,0,2.307,2,0,5,3,0,0,0
0,0,8.394,0,0,0,0,1.848,5,0,3,2,0,0,0
2,0,10.289,0.036,1,11.766,1,2.337,0,0,1,3,0,0,0
2,0,10.593,0,2,0,3,2.259,0,0,0,1,0,0,0
0,0,8.755,0,0,0,0,1.902,0,0,0,3,0,0,1
0,0,9.882,2.904,0,0,0,2.236,0,0,0,2,0,0,1
2,0,9.54,0,2,0,0,2.17,2,1,1,0,0,0,0
1,0,9.391,0,1,0,0,2.149,1,0,1,1,0,0,0
0,0,9.345,-0.644,0,20.291,3,2.042,0,0,0,1,0,0,1
4,0,10.623,0,2,0,0,2.311,0,0,2,0,0,0,0
4,0,10.806,0,4,24.34,2,2.42,0,1,0,0,0,0,0
0,0,10.946,0,0,0,2,2.607,1,0,0,3,0,0,0
8,0,10.817,0,6,0,0,2.398,4,1,2,0,0,0,0
3,0,10.423,0,0,0,0,2.417,1,0,1,0,0,0,0
3,1,10.099,0,3,20.482,2,2.305,2,1,2,0,0,0,0
0,0,9.949,0,0,0,1,2.236,0,0,0,1,0,0,1
0,0,10.505,0,0,0,0,2.303,0,0,0,2,1,0,0
0,0,10.224,-0.287,0,11.373,4,2.088,2,0,0,2,0,0,1
3,0,10.539,0,1,0,1,2.377,1,0,0,4,0,0,0
5,1,11.072,-0.391,4,33.54,4,2.314,0,0,5,0,0,0,0
0,0,9.933,-0.076,0,10.914,2,2.019,0,0,0,1,0,0,1
0,0,10.95,0,0,0,1,2.414,0,0,0,6,0,0,0
0,0,10.272,0.022,0,11.783,2,2.058,0,0,0,2,0,0,1
0,0,9.272,0.225,0,10.572,1,2.091,1,0,1,0,0,0,1
2,1,9.882,0,2,20.072,3,2.236,1,0,1,0,0,0,0
0,0,10.694,-2.172,0,33.28,7,2.315,1,0,0,1,0,0,0
4,0,10.3,0,2,0,2,2.275,2,0,0,0,0,0,0
2,0,9.882,1.066,1,0,0,2.236,0,1,0,1,0,0,0
1,0,9.688,0,0,0,1,2.348,0,0,0,0,0,0,1
0,0,10.091,0,0,11.347,4,2.236,0,0,0,3,0,0,0
0,0,7.408,0,0,0,0,1.618,0,0,0,2,0,0,0
0,0,10.229,0,0,10.364,4,2.121,2,0,0,1,0,0,1
0,0,10.074,0,0,0,6,2.247,6,0,0,2,0,0,1
2,0,9.631,0,2,0,2,2.194,1,0,0,0,0,0,1
6,0,10.86,0.134,0,12.494,1,2.551,0,0,0,0,0,0,0
0,0,10.505,0,0,0,0,2.303,0,0,0,2,0,0,0
4,0,10.745,0.556,2,0,0,2.358,1,0,3,0,0,0,0
0,0,8.623,0,0,0,0,2,2,0,2,0,0,0,0
0,0,8.815,0,0,0,1,1.932,1,0,1,2,0,0,0
2,0,10.281,-0.664,1,22.271,3,2.284,1,0,1,2,0,0,1
0,0,9.916,0.159,0,10.961,2,2.122,0,0,1,3,0,0,1
4,0,10.06,0,4,0,1,2.303,1,1,0,0,0,0,0
1,0,9.642,0,1,0,0,2.194,0,0,1,0,0,0,0
0,0,8.623,0,0,0,2,2,0,0,0,0,0,0,0
0,0,9.773,0.498,0,10.529,1,2.278,0,1,1,0,0,0,0
0,0,9.011,-0.262,0,10.041,3,1.95,0,0,0,1,0,0,1
0,0,10.509,0,0,12.09,1,2.376,0,0,3,0,0,0,0
3,0,10.531,-2.685,0,32.533,5,2.454,1,0,0,0,0,0,1
2,0,9.69,0,1,0,0,2.203,1,0,1,2,0,0,0
0,0,11.029,-5.256,0,71.167,9,2.462,0,0,3,0,0,0,0
0,0,10.236,0.113,0,10.837,2,2.205,0,0,0,4,0,0,0
0,0,9.067,0,0,0,0,2.115,0,0,0,1,0,0,0
5,0,11.101,-0.114,0,25.043,2,2.522,0,0,0,3,0,0,0
3,0,10.027,0,2,10.378,3,2.301,0,0,0,0,0,0,1
0,0,10.54,0,0,0,0,2.247,0,0,0,0,1,0,0
0,0,9.184,-0.198,0,0,0,2,0,0,0,0,0,0,0
0,0,9.183,0.041,0,10.249,1,2.101,1,0,1,0,0,0,1
4,1,10.277,0,4,20.509,3,2.353,1,1,1,0,0,0,0
2,0,10.843,0,1,0,1,2.378,1,0,0,5,0,0,0
1,0,10.721,-0.331,0,12.071,4,2.36,0,0,0,1,0,0,0
0,0,9.309,-2.076,0,19.316,2,2,4,0,4,0,0,0,0
0,0,8.944,0,0,0,2,1.97,1,0,0,2,0,0,1
0,0,7.853,0,0,0,0,1.732,1,0,1,2,0,0,1
3,1,10.152,0,3,20.72,3,2.317,2,0,2,0,0,0,0
0,0,9.947,-0.638,0,10.518,2,2.251,3,0,1,1,0,0,0
0,0,9.183,-0.053,0,10.214,1,2.101,1,0,1,0,0,0,1
0,0,11.07,2.753,0,24.463,3,2.616,0,0,0,5,0,0,0
0,0,10.673,0.15,0,12.585,2,2.328,0,0,0,4,0,0,0
3,1,10.742,0,2,21.265,5,2.357,0,0,1,1,0,0,0
2,0,10.213,0,1,0,1,2.214,1,0,0,1,0,0,1
3,0,9.967,0,3,0,2,2.282,0,1,0,0,0,0,0
0,0,9.868,0,0,0,4,2.098,2,0,0,4,0,0,0
4,0,10.548,-0.627,4,22.352,4,2.366,1,1,1,1,0,0,0
2,0,9.631,0,2,0,1,2.194,2,0,1,0,0,0,1
0,0,8.584,0,0,0,0,1.879,4,0,2,2,0,0,1
0,0,9.956,-0.481,0,0,0,2.214,0,1,0,0,0,0,0
2,0,9.631,0,1,0,1,2.194,1,0,1,0,0,0,1
0,0,10.331,0,0,0,0,2.303,0,0,0,4,0,0,0
3,2,10.309,0,3,41.057,4,2.338,2,0,3,0,0,0,0
3,0,9.833,0,2,0,1,2.246,1,1,0,1,0,0,0
0,0,9.657,0,0,0,0,2,0,0,0,2,0,0,0
2,0,9.579,0,2,0,0,2.194,0,1,0,0,0,0,0
0,0,8.16,0,0,0,0,1.802,0,1,0,2,0,0,0
2,0,10.297,-0.538,0,10.865,2,2.386,2,0,3,0,0,0,0
2,0,11.012,0,0,0,2,2.381,0,0,0,4,0,0,0
0,0,8.755,0,0,0,2,1.902,1,0,0,1,0,0,1
0,0,9.373,0,0,0,1,2.074,0,0,0,2,0,0,0
4,0,10.411,0,0,0,0,2.384,0,0,0,2,0,0,0
0,0,10.106,0,0,10.101,1,2.175,0,0,0,4,0,0,0
1,0,9.642,1.121,0,0,0,2.194,0,0,0,1,0,0,0
2,0,9.863,0,0,0,0,2.303,0,0,1,0,0,0,0
2,0,10.435,-0.942,0,23.889,4,2.351,0,0,0,2,0,0,1
2,0,10.181,0,0,0,0,2.38,0,0,2,0,0,0,0
2,0,10.037,-0.199,0,10.843,2,2.376,0,0,0,0,0,0,1
0,0,10.13,0,0,0,2,2.255,2,0,0,4,0,0,0
0,0,9.459,-0.657,0,20.069,2,2.199,2,0,2,0,0,0,1
0,0,10.026,0,0,0,0,2.283,2,1,5,2,0,0,0
2,0,10.136,-0.87,0,10.482,2,2.278,1,0,0,2,0,0,1
0,0,8.755,-0.197,0,0,0,1.902,4,0,4,0,0,0,0
4,0,10.3,0,2,0,0,2.275,4,0,2,0,0,0,0
5,0,10.265,0,5,0,0,2.365,0,1,0,0,0,0,0
3,0,9.863,0,1,0,0,2.264,2,0,1,2,0,0,0
0,0,9.183,0,0,0,0,2.101,0,1,1,0,0,0,0
0,0,9.54,0,0,0,0,2.175,1,0,1,2,0,0,0
0,0,7.408,0,0,0,0,1.618,0,0,1,0,0,0,0
2,0,10.386,0.011,2,0,0,2.358,3,0,3,0,0,0,0
3,0,10.05,0,2,19.925,2,2.294,0,0,2,1,0,0,0
0,0,9.118,-0.255,0,10.129,3,1.962,0,0,0,2,0,0,1
3,0,10.764,1.306,2,0,1,2.447,1,0,1,4,0,0,0
0,0,9.311,0,0,0,0,2.136,0,0,0,1,0,0,0
0,0,9.803,0,0,0,0,2.236,6,0,6,0,0,0,0
4,0,10.506,0,0,0,0,2.348,0,0,0,0,0,0,0
0,0,10.592,1.531,0,0,0,2.53,0,0,0,2,0,0,0
0,0,10.076,1.466,0,10.884,1,2.288,1,0,2,3,0,0,0
2,1,9.947,0,2,20.438,3,2.259,0,0,1,0,0,0,0
2,0,9.714,0,0,0,0,2.214,0,1,0,1,0,0,0
3,1,10.122,0,1,20.759,2,2.318,0,0,1,2,0,0,0
0,0,9.207,0,0,0,0,1.95,0,1,0,2,0,0,1
2,0,10.94,-0.826,0,23.886,2,2.55,2,0,2,0,0,0,0
0,0,9.522,0,0,0,0,1.97,1,0,1,2,0,0,1
2,0,10.32,-1.016,0,23.088,4,2.349,0,0,0,2,0,0,1
0,0,9.222,0.287,0,10.254,1,2,0,0,0,3,0,0,1
4,0,10.865,0,4,0,2,2.409,0,1,0,1,0,0,0
2,0,10.037,0.014,1,10.934,1,2.376,1,0,1,0,0,0,0
3,0,10.32,-0.205,3,11.247,1,2.292,1,1,2,0,0,0,0
2,0,9.882,-0.875,0,10.312,2,2.236,1,0,0,1,0,0,1
3,0,10.135,0,1,0,0,2.3,0,0,0,0,1,0,1
4,0,10.06,0,4,0,0,2.307,2,1,1,0,0,0,0
6,1,10.713,0,6,21.048,3,2.368,0,1,1,0,0,0,0
4,0,10.297,-1.188,3,10.567,2,2.368,1,1,0,0,0,0,0
12,0,12.308,-2.283,3,44.045,6,2.525,3,0,3,18,0,0,0
0,0,9.314,0,0,0,0,2,0,0,0,0,0,0,0
3,0,10.009,0,2,10.337,3,2.29,1,0,0,1,0,0,1
3,0,10.06,0,1,0,0,2.333,0,0,0,0,0,0,0
0,0,10.236,0,0,0,3,2.292,2,0,1,4,0,0,0
3,2,10.309,0,2,41.436,4,2.351,0,0,2,1,0,0,0
0,0,8.597,-1.426,0,17.905,3,1.848,1,0,0,0,0,0,1
0,0,6.594,0,0,0,0,1.414,0,0,0,2,1,0,0
3,0,10.277,-0.884,0,10.645,2,2.359,1,0,0,0,0,0,1
4,0,10.084,0,1,0,1,2.318,1,0,0,3,0,0,0
0,0,8.755,-1.072,0,9.377,2,1.902,1,0,1,0,0,0,1
3,0,10.778,-1.775,0,36.905,6,2.4,0,0,0,3,0,0,1
4,0,11.129,0,2,0,4,2.399,0,0,2,0,0,0,0
6,0,10.717,-0.525,4,12.008,5,2.404,4,0,0,0,0,0,0
0,0,9.184,0.259,0,10.144,1,2,0,0,0,3,0,0,1
0,0,7.408,0,0,9.174,1,1.618,0,0,0,1,0,0,1
5,0,11.182,0,1,0,1,2.483,1,0,0,6,0,0,0
0,0,6.594,0,0,0,1,1.414,1,0,0,2,0,0,1
0,0,11.419,0.232,0,26.695,2,2.678,0,0,1,5,0,0,0
0,0,9.292,0,0,0,3,2.074,3,0,1,3,0,0,0
0,0,9.311,0,0,0,0,2.136,0,0,0,0,0,0,0
0,0,9.464,-1.74,0,19.793,4,2,2,0,0,0,0,0,1
0,0,10.919,0,0,0,3,2.121,0,0,0,3,0,0,1
2,0,9.714,0,0,0,0,2.214,0,0,2,0,0,0,0
0,0,9.519,0,0,0,0,2.101,0,0,1,3,0,0,0
0,0,9.118,0,0,0,1,1.962,1,0,0,2,0,0,1
2,0,10.592,0,0,10.535,1,2.329,0,0,0,4,0,0,0
0,0,8.815,0,0,0,0,1.932,0,1,0,1,0,0,0
4,0,10.681,-0.128,0,24.203,2,2.499,0,0,0,0,0,0,1
2,0,9.54,0,2,0,2,2.17,2,0,0,0,0,0,1
0,0,9.464,0.417,0,9.827,2,2.236,0,0,0,0,0,0,1
2,0,10.841,-1.233,0,23.37,2,2.497,0,0,1,0,0,0,0
12,0,11.524,-5.135,4,49.639,7,2.522,2,1,0,0,0,0,0
0,0,9.253,-0.177,0,10.624,2,2.024,0,0,0,1,0,0,1
0,0,11.48,0.425,0,0,0,2.799,0,1,0,0,0,0,0
0,0,8.723,0,0,0,2,2.214,1,0,0,1,0,0,1
0,0,10.014,1.674,0,0,0,2.152,0,0,2,0,0,0,0
0,0,9.657,0,0,0,0,2,0,0,0,1,0,0,0
2,0,10.257,-1.1,0,22.449,4,2.343,0,0,0,0,0,0,1
0,0,11.528,0.394,0,0,0,2.805,0,1,0,0,0,0,0
3,0,10.524,0,1,0,1,2.368,1,0,0,4,0,0,0
6,0,11.313,0,3,13.711,4,2.394,0,0,0,6,0,0,0
0,0,8.412,0,0,0,1,2,0,0,0,0,0,0,0
0,0,7.408,0,0,0,0,1.618,0,0,0,2,1,0,0
4,0,10.289,0,2,0,2,2.316,2,0,0,0,0,0,0
1,0,10.632,0.134,0,0,3,2.3,0,0,2,2,0,0,0
0,0,8.755,0,0,0,0,1.902,0,0,0,2,0,0,0
0,0,9.928,-0.135,0,10.635,2,2.249,0,0,0,2,0,0,1
2,0,10.277,-0.995,0,10.582,2,2.359,1,0,1,0,0,0,1
2,0,11.411,0,0,0,4,2.409,0,0,0,10,0,0,0
0,0,8.743,0,0,0,0,1.902,0,0,0,2,0,0,1
0,0,8.881,0,0,0,0,1.919,0,1,0,2,0,0,0
0,0,10.107,-0.75,0,10.158,1,2.222,2,0,2,0,1,0,0
0,0,10.627,-0.919,0,22.35,3,2.22,1,0,2,1,0,0,1
0,0,10.335,0.448,0,11.089,1,2.327,0,0,0,3,0,0,0
2,0,10.803,-0.809,0,25.001,4,2.373,0,0,0,0,0,0,1
8,0,11.72,0,2,0,2,2.494,2,0,0,12,0,0,0
4,0,10.481,0,0,0,0,2.366,0,0,0,3,0,0,0
4,0,10.68,0,2,0,0,2.295,1,0,1,2,0,0,0
0,0,11.662,-0.966,0,38.399,12,2.475,0,0,0,3,0,0,1
2,2,10.159,0,2,40.909,4,2.323,0,0,2,0,0,0,0
7,0,10.964,-0.735,3,24.769,3,2.551,3,0,1,0,1,0,0
0,0,8.743,0,0,0,3,1.902,0,0,0,0,0,0,0
0,0,9.723,-0.11,0,10.614,3,2.107,1,0,0,2,0,0,1
8,0,11.356,0,6,45.487,6,2.477,6,1,2,0,0,0,0
2,0,9.54,0,2,0,1,2.17,1,1,0,0,0,0,0
7,0,11.472,-0.299,3,13.096,2,2.617,0,0,3,0,0,0,0
3,0,9.863,0,3,0,1,2.264,1,1,0,0,0,0,0
0,0,10.189,0,1,10.46,3,2.352,2,0,1,2,0,0,1
4,0,10.806,0,4,24.454,2,2.426,4,0,2,0,0,0,0
0,0,9.067,0,0,0,0,2.115,2,0,2,0,0,0,0
0,0,10.926,0.513,0,11.573,1,2.62,0,0,0,3,0,0,1
2,0,9.668,0,1,0,0,2.222,0,1,0,1,0,0,0
2,0,10.007,-0.066,2,10.681,2,2.242,1,0,1,2,0,0,0
0,0,9.565,-1.853,0,20.872,4,2.127,0,0,0,2,0,0,1
0,0,10.366,-0.589,0,22.204,3,2.441,0,0,0,1,0,0,0
3,0,10.536,0,3,0,0,2.285,2,0,2,3,0,0,0
8,0,11.501,-2.182,6,49.391,4,2.393,2,1,6,2,0,0,0
2,0,10.361,-1.14,0,22.748,6,2.305,2,0,0,2,0,0,1
2,0,10.136,-0.89,1,10.557,2,2.288,1,0,1,0,0,0,0
1,0,10.272,0,1,0,2,2.375,0,0,1,0,0,0,0
0,0,10.606,-0.343,0,11.629,6,2.361,3,0,0,1,0,0,1
0,0,9.184,-0.713,0,9.461,2,2,4,0,2,0,0,0,1
6,3,11.151,0,3,67.469,6,2.546,0,0,3,5,0,0,0
0,0,10.136,-2.3,0,20.567,4,2.278,2,0,1,0,0,0,0
4,0,10.084,0,4,0,0,2.318,0,1,0,0,0,0,0
4,0,10.806,0,4,24.186,4,2.42,2,0,0,0,0,0,0
2,0,10.548,-0.875,0,10.562,2,2.334,1,0,0,3,0,0,0
0,0,10.281,-0.806,0,10.731,4,2.165,0,0,0,5,0,0,0
3,0,9.902,0,2,0,0,2.263,0,1,0,1,0,0,0
0,0,11.509,-0.945,0,35.388,11,2.466,5,0,4,0,0,0,1
0,0,7.853,0,0,0,0,1.732,0,1,0,2,1,0,0
2,0,9.882,0.125,0,10.757,1,2.236,0,0,0,2,0,0,1
7,0,11.371,-1.123,4,35.613,5,2.415,1,1,5,2,0,0,0
0,0,9.222,1.188,0,10.178,1,2,0,0,0,3,0,0,1
4,0,10.338,0,2,0,2,2.314,2,0,0,0,0,0,0
4,0,10.481,-0.266,2,11.937,3,2.363,2,0,0,0,0,0,0
0,0,6.594,0,0,8.806,1,1.414,0,0,0,1,0,0,1
4,0,11.145,-1.375,2,46.841,4,2.419,0,0,2,0,0,0,0
3,0,10.149,0,1,0,1,2.259,1,0,0,0,0,0,0
2,0,9.947,-0.896,1,10.38,2,2.251,2,0,1,0,0,0,0
0,0,9.797,0,0,0,0,2.084,0,0,3,0,0,0,0
3,0,10.559,0,2,0,2,2.375,1,0,0,3,0,0,0
0,0,8.815,-0.157,0,9.958,1,1.932,2,0,2,0,0,0,0
0,0,10.219,0.902,0,0,0,2.236,2,0,2,0,0,0,0
0,0,8.16,0,0,0,0,1.802,0,0,0,2,0,0,1
2,0,10.424,-1.417,0,22.962,4,2.265,0,0,0,0,0,0,1
0,0,10.308,-0.561,0,21.759,3,2.244,0,0,0,3,0,0,0
0,0,10.505,0,0,0,0,2.303,0,0,0,2,0,0,0
0,0,7.408,0,0,0,0,1.618,0,0,0,0,0,0,0
0,0,9.665,0,0,0,1,2.175,0,0,1,2,0,0,0
12,0,11.156,0,12,0,1,2.485,0,0,0,0,1,0,0
4,0,11.345,-0.117,1,12.336,3,2.466,1,0,0,7,0,0,0
0,0,10.434,0,0,0,0,2.414,0,1,0,0,1,0,0
0,0,9.449,0,0,0,1,2.093,1,0,1,3,0,0,0
4,0,11.166,0,4,45.922,5,2.374,6,0,4,0,0,0,0
6,0,11.255,0,4,45.607,6,2.416,6,0,2,0,0,0,0
