j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,label
7,0,5.468,0,2.887,6,0,7,1.108,0,5,2.0989,0,0,1.261,-1.693,0
1,0,4.732,-0.023,1.889,0,0,0,1.119,0,0,3.1657,0,0,1.331,0,0
0,0,4.491,-0.007,2,3,0,2,1.151,0,0,3.6384,0,0,1.166,0,0
3,0,5.149,0,1.825,0,0,0,1.125,0,1,1.8559,2,0,1.238,0,0
1,0,5.236,0.004,3.046,0,0,0,1.09,0,6,3.9253,0,0,1.352,0,0
6,0,5.047,0,1.905,0,0,0,1.087,0,0,2.5237,0,0,1.38,0,0
3,0,5.039,-0.001,2.512,0,0,0,1.104,0,0,2.6275,0,0,1.29,-0.79,0
0,0,3.975,0,1.55,0,0,0,1.141,0,0,2.8897,0,0,1.209,0,1
1,0,5.375,0.004,2.188,0,0,0,1.126,1,1,3.2786,0,0,1.266,0,0
1,0,5.021,0.005,3.611,0,0,0,1.127,0,3,3.5325,0,0,1.147,-1.291,1
1,0,4.953,-0.008,2.803,2,0,2,1.129,0,1,3.4085,0,0,1.241,0,0
0,0,4.303,-0.229,3.056,0,0,0,1.156,0,0,2.9558,0,0,1.056,0,1
0,0,5.421,0.005,4.173,0,0,0,1.149,1,0,4.9033,0,0,1.084,-5.019,1
1,0,4.732,0.045,2.444,0,0,0,1.094,0,2,3.3007,0,0,1.374,0,0
1,0,4.818,-0.007,1.879,4,0,1,1.131,0,1,2.9372,0,0,1.251,0,0
0,0,4,-0.687,4.167,0,0,0,1.156,0,0,3.2163,0,0,1.076,-0.833,1
2,0,5.511,0,2.348,0,0,0,1.113,1,2,2.4453,0,0,1.271,0,0
0,0,4.347,0.001,2.078,0,0,0,1.142,0,0,3.0077,0,0,1.178,-0.071,1
1,0,4.923,0.015,3.011,0,0,0,1.107,0,1,3.303,0,0,1.268,-0.995,0
0,0,3.95,-0.002,1.857,0,0,0,1.143,0,0,2.7989,0,0,1.18,0,1
0,0,4,-0.522,2,0,0,0,1.166,0,0,2.6264,0,0,1.182,0,1
0,0,4.644,0,1.931,0,0,0,1.138,0,0,3.122,0,0,1.21,0.238,1
4,0,5.051,0,2.595,18,0,16,1.124,0,12,1.6237,0,0,1.265,-2.695,0
1,0,4.499,0.044,2.396,0,0,0,1.117,0,0,2.9058,0,0,1.243,0,1
0,0,3.98,0,1.576,0,0,0,1.134,0,0,2.974,0,0,1.254,0,0
3,0,4.757,0,1.983,8,0,4,1.108,0,4,1.8029,0,0,1.313,0,0
3,0,5.089,0,2.222,0,0,0,1.125,0,0,1.8308,0,0,1.213,-0.809,1
0,0,5.236,-0.078,2.969,3,0,0,1.162,1,0,3.8074,0,0,1.066,0,0
0,0,5.262,0,2.204,0,0,0,1.146,0,0,4.758,0,0,1.156,0,0
0,0,4.646,0,2.775,0,0,0,1.137,0,0,3.9619,0,0,1.184,-0.189,1
0,0,3.956,0.001,1.567,0,0,0,1.141,0,0,2.8079,0,0,1.208,0,1
1,0,4.923,0.015,3.144,2,0,1,1.121,0,2,3.5714,0,0,1.273,0,0
1,0,4.303,0.139,2.417,1,0,0,1.133,0,0,3.3609,0,0,1.35,0,0
1,0,4.796,0.015,3.133,4,0,2,1.14,0,2,3.4398,0,0,1.224,0,0
0,1,5.303,0.038,2.028,0,0,0,1.109,1,0,4.0011,0,0,1.461,0,0
1,0,4,0.003,1.5,0,0,0,1.138,0,0,2,0,0,1.205,0,0
1,0,5.313,-0.001,2.161,0,0,0,1.125,1,0,2.7782,0,0,1.274,0,0
1,0,4.975,0.001,2.381,0,0,2,1.132,0,1,3.2319,0,0,1.222,-0.432,0
1,0,5.006,-0.003,3.615,6,0,3,1.153,0,3,3.7647,0,0,1.194,0,0
2,0,4.953,0,2.578,0,0,0,1.097,0,6,2.6126,0,0,1.322,0,0
3,0,4.928,0,1.722,0,0,0,1.114,0,0,1.7361,2,0,1.29,0,0
0,0,4.56,0,2.25,0,0,0,1.139,0,0,4.4123,0,0,1.183,-0.945,1
0,0,4.476,-0.088,3.292,0,0,0,1.143,0,0,3.72,0,0,1.156,-0.644,1
0,0,4.343,-0.083,2.563,4,0,1,1.157,0,0,4.0038,0,0,1.25,1.101,0
0,0,3.879,0.047,2.278,0,0,0,1.154,0,0,3.1116,0,0,1.107,0,0
0,0,4.278,-0.027,3.533,0,0,0,1.146,0,0,3.167,0,0,1.114,-1.74,1
1,0,4.828,0.013,2.133,0,0,0,1.104,0,0,3.1972,0,0,1.335,0,0
0,0,3.978,0,1.905,1,0,1,1.141,0,0,2.9644,0,0,1.207,0,0
0,0,5.236,-0.08,3.219,0,0,0,1.156,1,0,3.8422,0,0,1.063,0,0
1,0,5.313,-0.008,3.477,0,0,0,1.118,0,2,3.4571,0,0,1.219,0,1
6,0,5.187,-0.001,2.564,0,0,0,1.118,0,0,2.1504,4,0,1.256,0.666,0
0,1,5.27,0,2.39,0,0,0,1.119,0,0,5.1487,0,0,1.379,0,0
12,0,5.379,0,2.148,0,0,0,1.082,0,0,2.2903,0,0,1.355,0.134,0
1,0,4.882,0.005,3.389,0,0,0,1.116,0,0,3.2502,0,0,1.194,-2.254,1
0,0,5.236,-0.09,3.038,0,0,0,1.155,0,0,4.6932,0,0,1.136,0,0
0,0,6.33,0,5.742,0,1,0,1.35,13,0,7.9184,0,0,0.906,-4.724,0
2,0,5.219,0,2.322,0,0,0,1.126,1,0,2.2204,2,0,1.257,2.753,0
1,0,5.313,-0.008,3.114,0,0,0,1.116,0,1,3.4001,0,0,1.257,0,1
0,0,6.272,0,5.536,0,1,0,1.32,8,0,7.1546,0,0,0.911,0,0
1,0,4.914,0.001,2.833,0,0,0,1.121,0,0,3.2253,0,0,1.202,-0.952,1
1,0,4.641,0.014,2.583,0,0,0,1.116,0,1,3.0853,0,0,1.249,0,1
1,0,3.618,-0.237,2.3,0,0,0,1.116,0,0,3.4245,0,0,1.332,0,0
0,0,5.351,0,1.818,0,0,0,1.136,0,0,4.2358,0,0,1.294,0.15,0
15,0,5.998,0,2.355,0,0,0,1.103,3,0,1.8789,6,0,1.332,0.642,0
0,0,5.182,0.045,2.46,0,0,0,1.119,0,0,4.1948,0,0,1.35,0,0
0,0,4.414,0.126,2.5,0,0,0,1.142,0,0,3.1682,0,0,1.224,0.287,1
1,0,4.807,-0.023,2.019,0,0,0,1.131,0,0,2.7734,0,0,1.334,1.008,0
4,0,5.02,0,2.543,18,0,14,1.118,0,6,1.5772,0,0,1.289,-2.182,0
0,0,5,0.42,3.539,0,0,0,1.121,1,0,3.756,0,0,1.407,0,0
3,0,4.963,0.001,2.59,0,0,0,1.099,0,0,2.736,0,0,1.296,-0.884,1
0,0,4.414,0.171,4.167,1,0,0,1.219,0,0,4.3883,0,0,1.074,-0.662,0
1,0,4.651,-0.074,2.452,2,0,0,1.148,0,0,2.7156,0,0,1.19,0.292,1
1,0,4.641,0.013,2.194,0,0,0,1.106,0,0,2.9372,0,0,1.331,0,0
0,0,5.303,0.044,3.028,0,0,0,1.154,1,0,4.0516,0,0,1.079,0,0
1,0,5.075,0,2.19,0,0,0,1.132,0,0,2.9203,0,0,1.21,-0.888,1
1,0,5.065,-0.001,2.233,4,0,2,1.126,0,1,3.2439,0,0,1.276,0.036,0
0,0,3.618,0.402,2.9,0,0,0,1.16,0,0,2.5915,0,0,1.065,0,1
3,0,5.665,0,1.99,0,0,0,1.085,0,3,1.9758,0,0,1.424,0,0
1,0,5.029,-0.008,2.818,2,0,2,1.129,0,1,3.5846,0,0,1.26,0,0
1,0,5.371,0.004,2.188,0,0,0,1.126,1,1,3.236,0,0,1.273,0,0
1,0,5.265,0,2.463,3,0,6,1.123,0,0,3.3444,0,0,1.296,0.134,0
1,0,4.521,0.014,2.317,0,0,0,1.114,0,0,2.7124,0,0,1.268,0,1
1,0,5.099,-0.001,2.283,0,0,0,1.135,1,0,2.2523,1,0,1.209,1.47,1
1,0,5.072,0,2.167,0,0,0,1.132,0,0,2.524,0,0,1.212,-0.888,1
0,0,3.879,0.036,1.611,0,0,0,1.143,0,0,2.5951,0,0,1.202,0,1
1,0,4.892,-0.001,2.456,0,0,2,1.134,0,2,3.2952,0,0,1.205,-0.505,0
0,0,3.414,-0.589,3.125,0,0,0,1.146,0,0,2.3729,0,0,1.142,0,1
1,0,4.414,-0.081,2.381,4,0,1,1.141,0,1,3.223,0,0,1.256,0,0
0,0,4.462,0,2.22,0,0,0,1.141,0,0,3.3098,0,0,1.173,-0.287,1
1,0,4.562,0.045,2.431,2,0,1,1.121,0,2,3.1562,0,0,1.308,0,0
1,0,4.607,-0.024,2.315,0,0,0,1.12,0,1,2.9443,0,0,1.242,0,1
0,0,4.17,0.343,2.567,0,0,0,1.152,0,0,2.6683,0,0,1.103,0,1
2,0,4.817,0,1.967,0,0,0,1.126,0,1,2.0469,0,0,1.215,0,0
1,0,4.596,0.047,2.917,0,0,0,1.119,0,2,3.2643,0,0,1.223,0,1
0,1,3.966,0,1.603,0,0,0,1.138,0,0,2.852,0,0,1.243,0,1
1,0,4.481,-0.239,3.033,0,0,0,1.139,0,0,2.7716,0,0,1.127,-0.065,1
7,0,5.119,0.001,1.889,0,0,0,1.083,0,0,2.6427,0,0,1.391,0,0
0,0,6.253,0,5.737,0,1,0,1.34,7,0,7.1279,0,0,0.908,-4.279,0
0,0,5.218,0,2.149,0,0,0,1.142,0,0,4.3575,0,0,1.2,0,0
1,0,4.977,0,2.3,0,0,0,1.14,0,0,1.9452,0,0,1.166,-0.347,1
1,0,4.732,0.045,2.431,2,0,1,1.121,0,2,3.271,0,0,1.312,0,0
0,0,3.879,0.037,1.846,0,0,0,1.142,0,0,2.6225,0,0,1.223,0,1
1,0,4.895,-0.008,3.202,2,0,1,1.117,0,3,3.54,0,0,1.296,0,0
1,0,4.882,0.005,3.5,2,0,2,1.127,0,1,3.4294,0,0,1.199,-1.168,0
0,0,4.303,0.042,2.37,0,0,0,1.135,0,0,3.3317,0,0,1.236,1.559,1
1,0,4.414,-0.077,2.095,2,0,0,1.125,0,0,3.1554,0,0,1.298,0,0
1,0,4.935,0.014,2.711,0,0,0,1.085,0,4,3.5218,0,0,1.399,0,0
1,0,4.807,-0.025,2.568,0,0,0,1.113,0,2,3.3157,0,0,1.295,0,0
1,0,4.653,0,1.833,0,0,0,1.132,0,1,1.8048,0,0,1.236,0,1
2,0,4.733,0,1.893,0,0,0,1.125,0,2,1.7208,0,0,1.261,0,0
0,0,3.732,-0.229,3,0,0,0,1.156,0,0,2.477,0,0,1.069,0,1
1,0,4.788,-0.002,3,2,0,2,1.127,0,0,2.7203,0,0,1.201,-1.424,1
4,0,5.414,0,2.229,10,0,11,1.124,1,3,2.419,0,0,1.303,0,0
3,0,4.869,0,2.576,13,0,9,1.123,0,4,1.767,0,0,1.261,-0.391,0
0,0,4.263,0.013,1.955,2,0,2,1.159,0,0,3.3475,0,0,1.163,0,0
0,0,4,-0.65,3.667,1,0,0,1.171,0,0,3.078,0,0,1.113,-0.333,1
1,0,4.414,-0.074,1.952,0,0,0,1.111,0,0,3.0215,0,0,1.323,0,1
0,0,4.17,0.425,3.533,1,0,0,1.154,0,0,3.4143,0,0,1.174,-0.481,1
0,0,4.303,-0.227,2.676,0,0,0,1.129,0,0,3.16,0,0,1.308,0,0
1,0,5.489,0,1.943,0,0,0,1.135,2,1,2.1976,0,0,1.225,-0.117,0
0,0,4.562,-0.274,4.148,0,0,0,1.175,0,0,4.1592,0,0,1.152,-0.713,1
1,0,4.882,0.005,3.472,4,0,0,1.127,0,0,3.3902,0,0,1.179,-2.476,1
3,0,5.338,0,2.183,0,0,0,1.114,0,3,2.2854,0,0,1.311,0,0
2,0,5.076,-0.001,2.206,0,0,0,1.089,0,2,2.6588,0,0,1.364,0,0
1,0,4.958,-0.007,2.212,0,0,0,1.125,0,1,3.1448,0,0,1.268,0,0
0,0,4.706,-0.028,3.133,0,0,0,1.146,0,0,4.2802,0,0,1.13,-1.853,1
3,0,5.69,0,2.469,4,0,8,1.113,1,0,2.3056,1,0,1.277,-0.826,0
0,0,3.902,-0.022,2.022,0,0,0,1.139,0,0,2.6931,0,0,1.241,0,0
2,0,5.312,0,2.179,0,0,0,1.123,0,2,2.3744,0,0,1.258,0,0
0,0,4.414,0.135,2.619,0,0,0,1.134,0,0,3.7375,0,0,1.258,1.188,1
1,0,5.402,0.001,4.026,2,1,1,1.184,1,2,3.7849,0,0,1.15,0,0
0,0,5.197,0.044,2.546,0,0,0,1.145,1,0,3.9762,0,0,1.177,0.168,0
0,0,4.347,0.013,2.288,0,0,0,1.143,0,0,3.0603,0,0,1.167,-0.082,0
0,0,5.333,0,1.554,0,0,0,1.134,0,0,4.0653,0,0,1.366,0,0
6,0,5.014,-0.001,1.859,0,0,0,1.09,0,0,2.3207,0,0,1.355,0,0
1,0,3,-0.541,2.167,0,0,0,1.149,0,0,2.5664,0,0,0.946,0,1
0,0,4.983,-0.008,3.694,0,0,0,1.16,0,0,4.2631,0,0,1.011,0,1
0,0,3.848,-0.076,2.375,0,0,0,1.151,0,0,2.8521,0,0,1.117,0,1
3,0,4.802,-0.001,2.512,4,0,4,1.137,0,0,2.6247,0,0,1.245,-0.538,0
1,0,4,0.112,1.667,2,0,0,1.151,0,0,2.1142,0,0,1.138,0,1
0,0,4.17,0.368,2.767,1,0,0,1.145,0,0,2.9651,0,0,1.271,0,1
0,1,5.323,-0.087,3.49,2,0,0,1.13,1,0,4.4887,0,0,1.359,-0.75,0
3,0,5.35,0,3.078,2,0,2,1.117,0,3,2.9948,0,0,1.254,0,0
1,0,4.499,0.043,2.021,2,0,1,1.127,0,1,2.9639,0,0,1.266,0,0
1,0,4.17,-0.204,1.967,0,0,0,1.144,0,0,2.1144,0,0,1.104,0,1
0,0,4.691,0,2.517,6,0,4,1.155,0,0,4.7731,0,0,1.142,0,0
2,0,5.645,0,2.662,0,0,0,1.108,1,0,2.6483,0,0,1.253,-1.283,0
0,0,4.17,0.322,2.167,1,0,0,1.161,0,0,2.607,0,0,1.133,0,1
0,0,5.098,-0.073,2.344,4,0,0,1.157,1,0,3.4015,0,0,1.138,0,0
1,0,3.618,-0.214,1.967,0,0,0,1.083,0,0,3.2048,0,0,1.476,0,0
1,0,5.287,0,3.083,3,0,9,1.14,0,0,3.3732,0,0,1.178,-5.256,0
1,0,4.807,-0.025,2.568,0,0,0,1.113,0,2,3.3179,0,0,1.298,0,0
1,0,5.006,-0.003,3.769,4,0,2,1.145,0,3,3.7881,0,0,1.185,0,0
0,0,3,0.861,2.5,0,0,0,1.162,0,0,2.0093,0,0,1.102,0,0
2,0,4.985,0.001,1.974,0,0,0,1.127,0,0,2.0546,1,0,1.236,1.982,0
3,0,5.387,0,2.823,4,0,7,1.108,0,9,2.1249,0,0,1.296,-0.656,0
1,0,4.596,0.043,2.167,2,0,2,1.127,0,1,3.1276,0,0,1.291,0,0
3,0,5.637,-0.006,1.658,0,0,0,1.128,1,0,2.2966,2,0,1.267,1.646,1
1,0,5.563,0,3.298,6,0,9,1.146,1,3,4.6158,0,0,1.214,0,0
0,0,4.17,0.444,3.933,0,0,0,1.139,0,0,3.5122,0,0,1.147,-0.981,1
3,0,5.493,-0.006,1.708,0,0,0,1.128,1,0,2.3368,2,0,1.288,1.531,0
2,0,5.369,0,3,2,0,8,1.134,0,4,2.4228,0,0,1.236,0,0
1,0,4.596,0.041,1.917,0,0,0,1.115,0,0,3.0777,0,0,1.328,0,1
1,0,5.38,0.001,3.565,2,0,1,1.129,0,2,3.8121,0,0,1.221,0,0
0,0,4.562,-0.258,3.556,0,0,0,1.139,0,0,3.8122,0,0,1.179,-0.759,1
1,0,4.994,-0.001,2.322,0,0,2,1.132,0,1,3.2017,0,0,1.221,-0.425,0
1,0,4.869,-0.001,2.659,3,0,4,1.135,0,3,3.0922,0,0,1.25,-0.393,0
1,0,4.739,0.004,2.764,2,0,2,1.13,0,0,2.6454,0,0,1.218,-0.959,1
0,0,4.334,0.135,2.548,0,0,0,1.153,0,0,3.1387,0,0,1.099,0,1
1,1,5.236,0.004,2.146,0,0,0,1.058,0,5,3.778,0,0,1.58,0,0
0,0,3.618,0.375,2.7,1,0,0,1.169,0,0,2.445,0,0,1.079,0,1
0,0,4.253,-0.007,1.75,2,0,2,1.155,0,0,3.0445,0,0,1.191,0,0
2,0,4.971,0,2.17,0,0,0,1.095,0,1,2.3195,0,0,1.352,0,0
0,0,4.17,0.397,3,0,0,0,1.163,0,0,3.2655,0,0,1.161,0,0
0,0,5.334,0,2.74,0,0,0,1.133,1,0,5.7899,0,0,1.204,-0.95,0
2,0,5.511,0,2.917,0,0,0,1.105,0,4,2.6317,0,0,1.275,0,0
2,0,5.418,0,2.778,0,0,0,1.069,0,10,3.1768,0,0,1.413,0,0
0,0,4.17,0.363,2.867,0,0,0,1.144,0,0,2.8963,0,0,1.196,0,1
1,0,4.912,-0.024,2.111,2,0,2,1.129,0,1,3.2927,0,0,1.286,0,0
3,0,5.389,0,2.728,2,0,3,1.113,0,1,2.7726,0,0,1.278,0.144,0
0,0,4.412,0,2.311,0,0,0,1.144,0,0,3.7308,0,0,1.146,-0.554,1
1,0,4.732,0.004,2.278,0,0,0,1.149,0,0,3.0634,0,0,1.118,0,0
0,0,4.236,0,2.05,0,0,0,1.141,0,0,2.9854,0,0,1.193,-0.654,1
1,0,4.65,0.004,2.236,0,0,0,1.12,0,0,2.596,0,0,1.276,0,0
1,0,4.86,-0.008,2.374,0,0,0,1.122,0,3,3.3466,0,0,1.25,0,0
1,0,4.77,0.012,1.867,0,0,0,1.121,0,0,2.8938,0,0,1.299,0,1
1,0,4.732,-0.026,2.926,0,0,0,1.111,0,0,3.0836,0,0,1.235,-0.879,1
1,0,4.875,-0.026,3.019,0,0,0,1.135,0,0,2.757,1,0,1.19,-0.444,1
1,0,5.256,0.012,2.175,0,0,0,1.136,1,0,2.6157,1,0,1.252,0.448,0
6,0,5.22,0,2.469,0,0,0,1.104,0,2,2.6213,0,0,1.281,-0.406,0
0,1,3.414,-0.501,2.125,0,0,0,1.116,0,0,2.1303,0,0,1.5,0,0
1,0,4.958,-0.008,3.202,2,0,1,1.117,0,3,3.5995,0,0,1.299,0,0
3,0,4.802,-0.001,2.25,2,0,1,1.079,0,0,2.3043,0,0,1.438,0,0
2,0,4.887,0,1.794,4,0,2,1.145,0,0,1.7855,4,0,1.211,0,0
1,0,4.912,-0.025,2.593,0,0,0,1.09,0,3,3.4643,0,0,1.388,0,0
2,0,5.098,0,2.25,4,0,10,1.123,0,2,2.6361,0,0,1.287,0.011,0
1,0,4.414,-0.065,1.643,2,0,0,1.149,0,0,2.2803,0,0,1.178,0,0
1,0,4.922,0.005,3.042,4,0,3,1.144,0,3,3.5578,0,0,1.195,0,0
3,0,5.325,0,3.152,0,0,0,1.082,0,4,3.1334,0,0,1.322,-1.749,0
0,0,4.233,-0.086,3.083,0,0,0,1.13,0,0,3.6203,0,0,1.207,-0.914,1
0,0,4.347,0,1.96,0,0,0,1.138,0,0,3.1269,0,0,1.202,-0.076,1
1,0,5.286,0,2.861,3,0,6,1.14,0,0,3.4839,0,0,1.224,-1.986,0
1,0,4.993,0,1.8,0,0,0,1.133,0,1,2.2683,0,0,1.235,0,0
6,0,5.318,0,2.575,0,0,0,1.084,0,1,2.3664,0,0,1.325,-0.26,0
0,0,4.414,0.144,3.262,0,0,0,1.139,0,0,3.4137,0,0,1.209,-0.125,1
1,0,4.882,0,2.981,0,0,0,1.13,0,0,2.872,0,0,1.161,-1.14,1
2,1,5.535,0,2.073,0,0,0,1.097,1,6,2.4918,0,0,1.429,0,0
1,0,4.783,-0.025,2.315,2,0,2,1.132,0,2,3.2726,0,0,1.23,0,1
0,0,4.346,0.05,2.852,0,0,0,1.142,0,0,3.6387,0,0,1.153,-0.41,1
0,0,4.236,-0.008,2.556,0,0,0,1.149,0,0,3.4286,0,0,1.119,-0.275,1
0,0,4.385,0,2.833,0,0,0,1.141,0,0,3.9908,0,0,1.135,-1.569,1
1,0,4.607,-0.025,2.352,0,0,0,1.105,0,2,3.0008,0,0,1.302,0,0
2,0,5.439,0,3.182,4,0,2,1.155,0,0,2.3629,0,0,1.154,-0.945,1
1,0,4.414,-0.085,2.929,0,0,0,1.144,0,0,2.9065,0,0,1.119,-0.549,1
2,0,5.392,0,3.16,4,0,2,1.121,0,4,2.6779,0,0,1.244,0,0
2,0,5,0,2.356,6,0,6,1.115,0,2,2.595,0,0,1.29,0,0
2,0,4.675,0.001,1.987,4,0,2,1.107,0,2,2.2988,0,0,1.315,0,0
1,0,4.923,0.015,3.2,0,0,0,1.117,0,1,3.3133,0,0,1.207,-1.113,1
0,0,3.732,-0.205,2.333,0,0,0,1.15,0,0,2.4062,0,0,1.134,0,1
1,0,5.382,0.001,4.417,0,2,0,1.229,2,0,3.4093,0,0,1.046,0,0
1,0,4.522,-0.007,2.061,3,0,3,1.14,0,0,2.3963,0,0,1.231,0,0
1,0,4.912,-0.024,2.333,0,0,0,1.12,0,1,3.3307,0,0,1.271,0,0
1,0,4.845,0.014,2.25,2,0,3,1.133,0,2,3.2928,0,0,1.241,0,0
0,0,5.103,-0.008,2.646,0,0,0,1.149,1,0,4.6435,0,0,1.135,-0.806,0
0,0,5.206,0,2.306,4,0,1,1.147,0,0,3.5794,0,0,1.18,-0.919,1
2,0,5.006,0,2.075,0,0,0,1.109,0,0,2.3877,0,0,1.295,0,0
4,0,5.798,0,1.883,0,0,0,1.085,0,0,1.9414,0,0,1.455,0,0
0,0,3.732,-0.226,2.333,1,0,0,1.164,0,0,2.5972,0,0,1.105,0,0
1,0,4.898,-0.002,2.192,0,0,0,1.123,0,2,3.1976,0,0,1.248,0,1
3,0,4.861,-0.006,1.467,0,0,0,1.133,0,0,1.9254,2,0,1.222,0,0
0,0,4.481,-0.026,2.9,3,0,0,1.161,0,0,3.6846,0,0,1.083,0,0
2,0,5.361,0,2.154,2,0,2,1.151,1,0,1.89,0,0,1.132,0,0
0,0,3.732,-0.211,2.37,0,0,0,1.14,0,0,2.4553,0,0,1.258,0,0
1,0,4.675,-0.002,2.462,0,0,0,1.116,0,0,2.6951,0,0,1.264,0.083,1
1,0,4.896,0.004,2.583,0,0,0,1.123,0,2,3.4023,0,0,1.219,0,1
0,0,3.879,0.039,2.056,0,0,0,1.146,0,0,2.6274,0,0,1.161,0,1
0,0,4.694,-0.077,2.875,0,0,0,1.146,0,0,3.646,0,0,1.14,-0.671,1
1,0,5.019,0,2.728,3,0,3,1.131,0,4,3.2862,0,0,1.23,-0.627,0
1,0,4.807,-0.025,2.333,4,0,2,1.14,0,2,3.2576,0,0,1.254,0,0
1,0,4.651,-0.002,2.692,3,0,2,1.125,0,1,2.6738,0,0,1.256,-0.396,1
3,0,5.092,0.001,1.731,0,0,0,1.121,0,0,2.3662,1,0,1.293,0,0
2,1,5.418,0,2.159,0,0,0,1.022,0,10,3.1295,0,0,1.617,0,0
0,0,3,0.87,3.241,0,0,0,1.144,0,0,1.9808,0,0,1.306,0,0
3,0,5.029,0.001,1.923,3,0,3,1.115,0,1,2.7083,0,0,1.312,0,0
3,0,5.331,0,2.318,0,0,0,1.102,0,3,2.1747,0,0,1.3,0,1
0,0,4.303,-0.251,2.944,0,0,0,1.175,0,0,3.4665,0,0,1.081,-0.157,0
1,0,4.543,-0.008,2.485,0,0,0,1.119,0,0,2.7023,0,0,1.241,-0.242,1
2,0,4.845,0,2.243,6,0,6,1.114,0,4,2.3287,0,1,1.32,0,0
0,0,5.086,-0.263,3.764,0,1,0,1.125,1,0,3.9599,0,0,1.32,0,0
3,0,5.32,0.001,1.904,5,0,2,1.122,1,1,2.628,1,0,1.3,1.361,0
1,0,4.783,-0.026,2.716,0,0,0,1.1,0,1,3.2512,0,0,1.321,0,0
1,0,4.973,0.005,3.042,4,0,2,1.144,0,3,3.602,0,0,1.193,0,0
0,0,3.879,0.04,1.833,0,0,0,1.146,0,0,2.8492,0,0,1.169,0,0
0,0,5.259,0.015,2.619,0,0,0,1.149,0,0,4.7145,0,0,1.165,0,0
1,0,4.414,-0.064,1.833,2,0,1,1.149,0,0,2.1543,0,0,1.165,0,1
0,0,4.691,0.053,3.944,0,0,0,1.139,0,0,4.0085,0,0,1.141,-2.748,1
0,0,3.902,-0.022,2.1,1,0,1,1.141,0,0,2.7284,0,0,1.233,0,1
2,0,4.732,-0.001,2.036,0,0,0,1.104,0,2,2.4398,0,0,1.31,0,0
0,0,4.38,-0.008,3.028,4,0,4,1.173,0,0,3.3651,0,2,1.115,-0.439,0
3,0,5.188,0,3.123,3,0,2,1.116,1,0,2.6152,0,0,1.287,-1.233,0
1,0,5.313,-0.007,2.068,0,0,0,1.136,1,0,2.5728,1,0,1.211,1.477,1
1,0,4.805,-0.007,2.197,0,0,0,1.125,0,1,2.8459,0,0,1.25,0,0
6,0,5.047,0,1.929,4,0,2,1.09,0,4,2.2477,0,0,1.366,0,0
1,0,4.732,0.043,2.167,2,0,1,1.127,0,1,3.1875,0,0,1.287,0,0
0,0,4.17,0.414,3.2,0,0,0,1.11,0,0,3.6942,0,0,1.38,0.09,0
1,0,5.138,0.004,3.139,0,0,0,1.1,0,3,3.6483,0,0,1.31,-1.188,0
3,0,4.802,-0.007,2.167,4,0,2,1.109,0,2,2.6956,0,0,1.351,0.682,0
1,0,5.386,0,3.475,8,1,9,1.171,1,3,4.1216,0,0,1.142,0,0
2,0,5.509,0,2.15,0,0,0,1.084,0,2,2.1816,0,0,1.449,0,0
2,0,4.992,0,2.125,4,0,2,1.122,0,2,2.5242,0,0,1.298,0,0
1,0,5.164,-0.081,3.274,0,0,0,1.138,0,0,3.2947,0,0,1.188,0,1
0,0,4.17,0.46,4.433,0,0,0,1.162,0,0,3.2723,0,0,1.018,-1.19,1
1,0,5.072,0,1.991,0,0,0,1.134,0,0,2.2317,0,0,1.212,-0.862,0
2,0,5.077,0,1.875,0,0,0,1.11,0,0,2.4109,0,0,1.324,0,0
1,0,4.895,-0.008,3.192,4,0,2,1.137,0,3,3.5219,0,0,1.252,0,0
1,0,4.77,0.015,3.333,2,0,1,1.13,0,2,3.3837,0,0,1.212,0,0
0,0,3.732,-0.195,2,1,0,1,1.157,0,0,2.3761,0,0,1.152,0,1
3,0,4.918,0.001,2.731,4,0,6,1.184,0,0,2.3933,0,0,1.136,0,1
1,0,6.496,0,5.75,0,2,0,1.365,8,0,4.6405,2,0,0.898,0,0
1,0,4.958,-0.006,1.985,0,0,0,1.141,0,0,2.4699,2,0,1.202,0,0
1,1,4.562,0.043,2.104,0,0,0,1.077,0,2,3.1356,0,0,1.482,0,0
2,1,5.307,0,2.217,0,0,0,1.03,0,12,3.0431,0,0,1.583,0,0
2,0,5.87,0,2.586,0,1,0,1.098,2,2,2.7059,0,0,1.34,0,0
6,0,5,0.003,1.633,0,0,0,1.113,0,0,2.039,4,0,1.35,0,0
0,0,5.262,0.161,4.036,0,1,0,1.135,1,0,4.373,0,0,1.244,-1.461,0
2,0,4.732,0,2.144,4,0,2,1.12,0,2,2.1649,0,0,1.293,0,0
2,0,5.131,0,2.546,0,0,0,1.104,0,0,2.5259,0,0,1.269,-0.688,0
0,0,3.414,-0.66,3.5,0,0,0,1.13,0,0,2.6294,0,0,1.215,0,1
1,0,4.517,-0.023,1.944,6,0,3,1.166,0,0,2.2821,0,0,1.129,0,0
1,0,4.782,-0.007,2.621,1,0,2,1.147,0,0,2.3537,2,0,1.141,-0.638,0
0,0,4,-0.636,3.417,0,0,0,1.132,0,0,2.8657,0,0,1.376,0,0
0,0,5,0.325,2.25,3,0,0,1.161,1,0,3.1241,0,0,1.176,0,0
1,0,5.42,0,2.097,0,0,0,1.136,4,0,3.2399,0,0,1.206,0,0
