a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
0,0,2,0,0,3.3939,0,2.662,0,1.459,0,8.755,4.214,0,2.052,1
0,2,0,3,1,3.54,2,3.647,1,1.16,0,10.099,4.895,0,1.696,0
1,3,1,2,0,3.1257,2,3.08,0,1.187,0,9.668,4.783,0,1.358,0
0,0,4,0,0,4.4437,0,4.494,0,2.184,0,10.42,5.349,0,1.951,0
0,0,3,0,0,4.7497,0,3.907,0,2.217,0,10.2,5.262,0,2.369,0
1,0,0,3,0,2.736,0,3.532,0,0.985,0,10.277,4.963,0,1.762,1
2,3,0,3,0,2.9434,2,3.347,0,0.629,0,10.084,5.003,0,1.075,0
0,1,1,0,0,2.9644,1,3.799,0,3.44,0,9.762,3.978,0,8.527,0
2,2,2,2,0,2.9221,2,3.175,0,1.185,0,9.882,4.77,0,1.74,0
0,3,3,0,0,3.6686,3,3.287,0,2.237,0,9.519,4.496,0,2.551,0
0,0,0,0,0,2.9809,0,3.083,0,0.917,0,9.968,5.164,0,0.939,0
1,2,0,0,0,2.3549,2,3.329,0,0.762,0,10.226,4.982,0,1.027,0
1,0,2,0,0,2.6683,0,2.4,0,0.971,0,8.597,4.17,0,1.542,1
2,2,0,0,0,2.1543,2,2.736,0,0.802,0,9.183,4.414,0,0.975,1
1,2,0,4,1,3.8133,2,3.715,1,1.124,0,10.277,5.071,0,1.513,0
0,0,0,0,0,2.6622,0,5.219,0,0.76,0,10.54,4.814,1,1.366,0
1,3,4,3,0,2.5675,5,3.647,0,1.25,0,10.764,5.325,0,1.996,0
2,2,3,0,0,2.607,1,2.373,0,0.971,0,8.597,4.17,0,1.542,1
1,0,6,0,0,4.5881,0,3.517,0,1.907,0,10.633,5.392,0,3.598,1
6,4,0,0,0,3.3651,4,3.343,0,2.252,0,9.65,4.38,0,4.178,0
1,0,2,3,0,3.2498,0,3.1,0,0.881,0,9.833,4.807,0,1.06,0
0,4,0,6,1,3.9791,2,4.005,0,1.197,0,10.51,5.268,0,1.098,0
2,0,12,8,0,2.7485,0,4.274,0,1.059,0,11.72,5.495,0,3.879,0
2,0,1,0,0,3.1398,0,3.809,0,3.249,0,10.063,4.383,0,7.892,1
0,0,1,0,0,2.1144,0,2.461,0,1.393,0,8.723,4.17,0,1.542,1
1,6,0,4,0,4.1935,6,3.817,3,1.225,0,10.607,5.163,0,1.526,0
0,0,1,0,0,2.2586,0,3.389,0,0.799,0,10.366,5.016,0,1.197,0
0,0,1,2,0,2.7876,0,3.678,0,2.125,0,10.281,4.845,0,3.549,1
0,0,3,5,0,2.2507,0,3.928,0,0.932,0,11.101,5.382,0,2.006,0
0,0,2,2,0,2.2317,0,4.429,0,3.61,0,10.833,5.072,0,10.844,0
5,7,0,0,0,2.3629,4,4.381,0,1.871,0,11.509,5.439,0,5.533,1
1,0,2,0,0,3.2512,0,3.279,0,2.585,0,9.11,3.932,0,4.891,1
1,0,0,3,1,3.4781,0,3.462,0,0.881,0,9.863,4.912,0,0.95,0
0,0,2,2,0,2.3662,0,3.418,0,0.985,0,10.296,5.092,0,1.554,0
2,0,0,0,0,3.0402,0,3.477,0,2.522,0,9.716,4.243,0,5.475,1
1,0,2,0,0,4.0026,0,3.176,0,1.761,0,9.723,4.655,0,2.989,1
3,8,0,2,0,2.6361,4,3.695,0,0.875,1,10.386,5.098,0,2.298,0
0,4,3,2,0,3.2439,4,3.587,0,1.938,0,10.289,5.065,0,2.563,0
0,2,0,1,0,3.0645,1,3.047,0,1.125,0,9.311,4.499,0,1.481,1
0,2,0,2,0,3.0585,2,3.325,0,0,0,9.805,4.802,0,0.95,0
0,0,2,0,1,2.6931,0,3.401,0,2.322,0,8.881,3.902,0,4.086,0
0,0,2,0,1,2.6225,0,3.142,0,2.281,0,8.743,3.879,0,3.685,1
0,2,0,2,0,3.2017,1,3.817,0,1.754,0,10.523,5.272,0,2.952,0
1,0,2,0,0,7.1546,0,4.347,0,1.77,0,12.012,6.272,0,3.939,0
0,0,3,0,0,4.0275,0,3.256,0,1.859,0,9.768,4.588,0,3.114,1
2,0,8,8,0,2.605,0,4.08,0,1.006,0,11.361,5.415,0,3.688,0
1,3,1,3,0,2.7083,3,3.479,0,1.139,0,10.174,5.029,0,1.808,0
0,0,0,3,1,3.4643,0,3.588,0,0.881,0,9.863,4.912,0,0.95,0
2,1,1,0,0,2.5972,1,2.575,0,1.585,0,8.16,3.732,0,2.488,0
2,0,0,0,0,3.8431,1,3.176,0,1.5,0,9.872,5.098,0,2.472,1
0,0,0,4,0,2.5966,0,3.837,0,1.418,0,10.634,5.029,0,2.586,0
1,0,2,0,0,3.646,0,2.917,0,1.406,0,9.425,4.694,0,1.631,1
4,0,0,0,0,4.4275,0,3.249,0,1.371,0,9.956,4.947,0,2.232,1
3,2,1,3,0,3.6618,2,3.564,0,1.124,0,10.524,5.375,0,1.671,0
0,0,2,0,0,2.2062,0,2.889,0,1,0,7.408,3.414,0,1.707,0
0,0,1,1,0,2.7023,0,3.309,0,1.705,0,9.722,4.543,0,2.905,1
2,0,0,0,0,3.0152,0,3.699,0,2.948,0,9.917,4.237,0,7.174,1
2,0,0,0,0,4.3619,0,4.298,0,1.371,0,9.956,4.947,1,2.232,0
0,0,0,3,1,2.3195,0,3.837,0,0.648,0,10.338,4.971,0,2.758,0
1,0,2,0,0,3.1413,2,2.587,0,1.459,0,8.815,4.303,0,1.745,0
0,0,3,3,0,3.1657,0,3.075,0,0.881,0,9.803,4.732,0,0.95,0
0,2,1,3,1,3.4879,2,3.512,1,1.16,0,10.099,4.895,0,1.696,0
0,0,1,0,0,2.1504,0,3.507,0,0.773,0,10.68,5.187,0,1.14,0
1,1,0,0,0,2.8688,2,2.898,0,0.802,0,9.183,4.414,0,0.975,1
0,0,2,0,0,3.3919,0,3.039,0,1.975,0,9.118,4.235,0,3.449,1
0,0,0,0,0,3.2075,0,2.954,0,0.917,0,9.459,4.414,0,1.101,1
0,4,0,1,0,1.8312,4,3.6,0,0,0,10.272,4.88,0,2.221,0
0,0,2,0,0,2.5951,0,2.908,0,2.281,0,8.743,3.879,0,3.685,1
0,0,0,1,0,2.8827,0,3.84,0,1.409,0,9.391,4.517,1,2.036,0
2,6,0,5,1,2.209,4,4.117,0,0.697,0,10.609,4.85,0,4.266,0
2,2,1,3,0,3.2928,2,3.198,0,1.185,0,9.902,4.845,0,1.393,0
0,0,2,0,1,2.7612,0,3.002,0,0.971,0,8.597,4.17,0,1.542,0
1,0,1,0,0,3.6524,0,2.977,0,1.906,0,9.058,4.343,0,2.682,1
0,0,2,0,1,4.3135,0,4.256,0,1.907,0,10.8,5.292,0,4.275,0
0,0,0,0,0,4.3417,0,3.486,0,0.918,0,9.184,4.562,0,1.521,0
0,0,2,0,1,2.3247,0,3.679,0,1.522,0,7.853,3.618,1,2.094,0
1,0,1,2,0,3.1573,0,3.239,0,1.185,0,9.882,4.796,0,1.686,1
1,0,1,0,0,3.0057,0,2.608,0,1.459,0,8.755,4.214,0,2.052,1
2,0,0,2,0,3.2113,0,3.025,0,0.875,0,9.54,4.562,0,1.14,1
0,0,4,0,0,3.5878,0,3.095,0,1.761,0,10.106,5.13,0,2.729,0
0,0,3,0,0,3.9762,0,3.027,0,1.436,0,10.091,5.197,0,2.176,0
3,1,0,0,0,3.5568,2,2.774,0,0.862,1,9.067,4.303,0,0.956,0
0,10,0,0,0,2.3933,4,3.482,0,1.116,0,10.266,4.918,0,1.651,1
0,0,3,0,0,2.8227,0,3.163,0,0.861,0,10.335,5.256,0,1.037,0
0,0,0,2,0,2.8539,0,3.39,0,0.762,0,10.226,4.982,0,1.027,1
4,4,0,4,0,2.7057,4,3.872,0,0.732,0,10.806,5.516,0,2.676,0
0,0,1,1,0,3.015,0,3.127,0,1.187,0,9.642,4.732,0,1.659,1
0,0,0,2,0,1.7361,0,3.753,0,0,0,10.506,4.928,0,3.091,0
0,0,4,2,0,2.7782,0,3.564,0,1.697,0,10.592,5.313,0,2.986,0
0,0,1,0,0,3.6944,0,2.838,0,1.557,0,8.944,4.334,0,2.195,1
0,0,2,0,0,1.7389,0,3.426,0,0.918,0,6.594,3,1,1.333,0
2,6,0,4,1,3.9386,6,3.761,2,1.197,0,10.456,5.103,0,1.74,0
2,0,7,4,0,3.5897,0,3.678,0,1.194,0,11.033,5.489,0,1.828,0
1,0,0,3,1,3.3875,0,3.462,0,0.881,0,9.833,4.807,0,1.06,0
1,4,0,0,0,1.7703,4,3.343,0,0,0,9.971,4.675,0,2.829,1
1,0,2,0,0,2.2523,0,3.533,0,1.938,0,10.469,5.099,0,3.879,1
0,0,1,1,0,3.2179,0,4.046,0,2.058,0,10.721,5.301,0,2.598,0
0,0,2,2,0,2.7973,0,3.157,0,1.261,0,9.714,4.641,0,1.783,0
0,0,0,0,0,3.9908,0,3.819,0,3.09,0,9.999,4.385,0,6.884,1
1,0,6,3,0,3.3311,0,3.551,0,1.161,0,10.929,5.422,0,2.084,0
1,0,0,0,0,3.1822,0,2.959,0,0.971,0,8.597,4.17,0,1.542,0
0,0,0,0,1,1.8789,0,4.308,0,0.749,0,11.637,5.998,0,1.117,0
0,1,1,0,0,2.7284,1,3.092,0,2.322,0,8.881,3.902,0,4.086,1
0,0,3,0,0,4.0218,0,3.447,0,2.21,0,9.961,4.67,0,3.769,1
0,2,1,2,1,3.1979,2,3.507,1,1.273,0,9.947,4.782,0,1.951,0
3,15,18,12,0,2.0841,3,4.908,0,0.97,0,12.308,5.493,0,3.898,0
0,0,3,0,0,3.7375,0,2.812,0,1.379,0,9.222,4.414,0,2.133,1
1,0,0,2,0,3.3094,0,3.118,0,1.187,0,9.668,4.783,0,1.358,1
0,0,3,0,0,4.2076,0,3.262,0,1.686,0,10.308,5.291,0,2.733,0
1,10,6,6,0,2.8245,8,4.167,1,1.07,0,11.333,5.451,0,4.053,0
0,1,0,0,0,3.9373,1,2.83,0,1.379,0,9.312,4.629,0,1.776,0
1,0,1,0,0,3.8122,0,2.723,0,0.918,0,9.184,4.562,0,1.521,1
0,0,0,2,0,3.3386,0,3.203,0,1.261,0,9.749,4.828,0,1.436,1
0,0,6,9,0,2.2854,0,4.322,0,0.662,0,11.258,5.338,0,2.977,0
2,0,0,0,0,3.3851,0,3.013,0,1.5,0,9.309,4.343,0,2.682,1
0,2,0,5,1,2.5104,2,4.028,1,0.946,0,10.601,4.901,0,3.43,0
0,6,0,2,0,1.6864,7,4.128,0,0,0,10.839,5.029,0,3.219,0
2,0,0,0,0,2.7345,2,2.197,0,0.811,0,8.318,4,0,1,0
0,0,0,0,0,2.956,0,2.39,0,1,0,7.408,3.414,0,1.707,1
0,3,1,0,0,2.3752,3,4.187,0,1.455,0,10.969,5.369,0,2.749,0
0,0,3,0,0,3.9016,0,3.227,0,1.859,0,10.165,5.175,0,3.341,1
0,0,4,0,0,3.0634,0,3.327,0,0.827,0,10.09,4.732,0,1.026,0
0,0,0,4,0,1.9414,0,4.75,0,0,0,11.103,5.798,0,1.471,0
1,12,4,7,1,2.419,10,4.094,0,0.917,1,11.157,5.414,0,2.907,0
0,0,1,0,0,2.9065,0,2.875,0,0.917,0,9.459,4.414,0,1.101,1
0,1,1,0,0,3.6459,1,2.997,0,1.906,0,9.059,4.362,0,2.524,1
1,0,2,0,0,2.7848,0,2.946,0,1.975,0,9.118,4.235,0,3.449,1
0,0,0,0,0,3.3475,2,3.166,0,2.187,0,9.533,4.263,0,4.143,0
0,0,0,1,0,3.0314,0,3.027,0,1.125,0,9.311,4.499,0,1.481,1
0,0,2,0,0,3.1373,0,3.437,0,2.322,0,8.881,3.902,0,4.086,0
0,0,0,2,1,3.2349,0,3.373,0,0.875,0,9.54,4.596,0,1.069,0
1,6,3,0,0,3.0252,5,3.292,0,1.16,0,10.076,4.868,0,1.634,0
0,0,4,0,0,4.0653,0,4.471,0,2.205,0,10.331,5.333,0,1.951,0
0,0,6,0,1,5.8726,0,4.34,0,2.088,0,10.678,5.328,0,2.507,0
1,2,0,1,0,2.9639,2,2.976,0,1.125,0,9.311,4.499,0,1.481,0
0,0,2,0,0,2.9193,0,2.279,0,0.811,0,8.318,4,0,1,1
3,2,1,1,0,2.3963,3,3.253,0,1.887,0,9.535,4.522,0,3.141,0
0,0,0,0,0,2.2808,0,2.801,0,0.802,0,9.183,4.414,0,0.975,1
4,4,0,8,1,2.4912,4,4.178,0,0.749,0,10.817,5.109,0,3.174,0
0,0,1,0,0,3.7074,0,2.713,0,1.459,0,8.755,4.214,0,2.052,1
0,0,3,0,0,2.1089,0,3.73,0,1,0,10.919,5.38,0,1.434,0
0,0,1,3,0,2.343,0,3.542,0,0.816,0,10.187,4.868,0,2.434,0
2,2,0,2,0,3.0562,2,3.324,0,1.273,0,9.947,4.782,0,1.951,0
2,0,0,0,0,2.4725,0,3.15,0,1.185,0,9.902,4.825,0,1.476,0
1,1,0,0,0,3.3376,1,2.774,0,1.459,0,8.755,4.214,0,2.052,1
1,0,0,4,1,3.6483,0,3.792,0,1.124,0,10.297,5.138,0,1.45,0
0,0,2,0,0,3.3815,0,4.632,0,4.491,0,10.776,4.399,0,17.537,1
1,0,3,7,0,1.9393,0,4.332,0,0.541,0,11.225,5.349,0,2.737,0
0,3,2,1,0,3.3444,3,3.998,0,2.353,0,10.632,5.265,0,3.88,0
2,4,0,3,1,3.6277,4,3.52,1,1.16,0,10.099,4.965,0,1.553,0
1,0,0,0,0,1.8227,0,1.883,0,0.918,0,6.594,3,0,1.333,1
3,3,0,9,0,1.9985,2,4.52,0,0.638,0,11.207,5.421,1,3.126,0
1,0,0,3,1,3.3803,0,3.462,0,0.881,0,9.803,4.732,0,0.95,0
6,0,2,0,0,2.906,6,3.063,0,2.322,0,8.881,3.902,0,4.086,0
0,2,1,2,0,3.4006,2,3.278,1,1.185,0,9.882,4.796,0,1.686,0
2,6,1,1,0,2.6497,2,3.768,0,0.972,0,10.864,5.697,0,1.861,0
0,0,4,0,0,5.7899,0,4.052,0,2.273,0,10.952,5.334,0,3.178,0
5,1,2,0,0,3.0492,3,3.592,0,1.437,0,10.493,5.164,0,2.081,1
0,0,0,3,0,2.1601,0,4.802,0,1.11,0,11.097,5.718,0,1.942,0
2,1,0,0,0,3.4143,1,2.548,0,0.971,0,8.597,4.17,0,1.542,1
4,2,0,5,0,2.9948,2,3.843,0,1.024,0,10.837,5.35,0,1.865,0
0,0,0,2,0,2.4203,0,3.495,0,0,0,9.971,4.675,0,2.829,0
0,0,1,0,0,3.4039,0,2.938,0,1.906,0,9.011,4.233,0,2.999,1
0,0,1,2,0,3.0766,0,3.188,0,1.261,0,9.749,4.828,0,1.436,0
1,0,0,3,1,3.3873,0,3.462,0,0.881,0,9.833,4.807,0,1.06,0
2,1,1,0,0,3.4743,0,2.68,0,1.459,0,8.755,4.214,0,2.052,0
0,0,3,4,0,2.4193,0,3.66,0,0.703,0,10.497,5.114,0,2.706,0
1,2,0,0,0,2.3925,2,2.93,0,0.75,0,9.272,4.362,0,1.017,1
2,6,0,2,0,2.3056,4,3.889,0,0.565,0,10.94,5.69,0,1.935,0
0,0,0,0,0,2.3041,0,3.301,0,0,0,9.314,4,0,1.244,0
1,0,3,0,0,2.3194,0,3.323,0,1.126,0,10.946,5.777,0,1.274,0
0,0,0,6,0,2.1526,0,3.973,0,0.548,0,10.964,5.386,0,1.599,0
1,0,1,2,0,1.8048,0,3.874,0,3.355,0,10.213,4.653,0,8.143,1
1,0,3,0,0,3.1402,0,2.946,0,1.891,0,9.202,4.444,0,2.602,1
1,3,1,0,0,3.5794,4,3.965,0,3.189,0,10.627,5.206,0,8.266,1
0,0,0,2,0,3.3983,0,3.571,0,1.59,0,10.257,5.068,0,2.147,1
1,0,3,0,0,3.753,0,3.211,0,1.859,0,10.165,5.175,0,3.341,1
0,0,2,0,0,3.7308,0,4.201,0,3.774,0,10.379,4.412,0,10.723,1
0,44,0,9,1,1.6914,16,4.902,0,0.257,2,11.817,5.158,0,1.535,0
2,2,0,0,0,4.4887,2,4.234,0,1.299,0,10.107,5.323,1,1.569,0
0,0,0,4,0,2.4524,0,3.788,0,0.75,0,10.813,5.156,0,1.508,1
1,0,0,0,0,3.5122,0,2.57,0,0.971,0,8.597,4.17,0,1.542,1
0,3,0,0,0,3.8606,3,3.135,0,1.895,0,9.292,4.481,0,2.02,0
0,2,0,0,0,3.1284,3,3.013,0,1.125,0,9.311,4.499,0,1.481,0
0,0,2,4,0,2.5769,0,3.656,0,1,0,10.411,5.106,0,2.266,0
1,3,1,1,0,2.8994,2,3.649,0,2.108,0,10.403,5.372,0,3.163,0
0,0,0,0,0,2.1658,0,2.78,0,1,0,7.408,3.414,0,1.707,0
4,1,0,0,0,3.8787,2,3.125,0,1.436,0,9.666,4.691,0,2.428,1
4,4,0,2,0,3.2417,4,2.997,0,0.875,0,9.579,4.732,0,0.854,0
2,1,4,0,0,4.3397,1,3.511,0,1.95,0,10.236,5.331,0,2.105,0
0,0,0,0,0,3.6265,4,3.242,0,2.117,0,9.797,4.461,0,3.798,0
0,0,2,0,0,2.8789,0,3.744,0,3.301,0,9.649,3.973,0,7.718,0
3,2,1,0,0,2.4945,2,2.553,0,1.585,0,8.16,3.732,0,2.488,1
1,0,2,3,0,3.3307,0,3.1,0,0.881,0,9.863,4.912,0,0.95,0
0,0,0,0,0,3.4245,0,2.593,0,0,0,8.412,3.618,0,0.579,0
0,0,0,0,0,2,0,3.22,0,0,0,9.314,4,0,1.244,0
1,0,1,3,1,3.3155,0,3.297,0,0.881,0,9.833,4.807,0,1.06,0
0,0,1,0,0,3.4453,0,2.512,0,0.971,0,8.597,4.17,0,1.542,1
0,0,4,0,1,3.7332,0,3.362,0,1.837,0,9.454,4.523,0,2.57,0
1,0,0,6,1,2.6126,0,4.037,0,0.732,0,10.578,4.953,0,3.061,0
0,0,2,0,0,2.8705,0,3.2,0,1.95,0,8.394,3.802,0,2.885,0
2,10,0,3,0,2.3407,8,3.639,0,0.521,0,10.185,4.649,0,3.626,0
6,6,0,4,0,2.4228,2,4.22,0,1.315,0,11.166,5.369,0,4.369,0
1,0,0,2,0,3.2243,0,3.796,0,0.875,0,9.54,4.596,1,1.069,0
2,1,1,0,0,2.9709,1,3.915,0,3.554,0,10.042,4.236,0,9.701,0
2,6,2,3,0,2.1754,8,3.72,0,1.085,1,10.361,4.739,0,3.551,0
2,2,1,2,0,3.5678,1,3.484,0,1.16,0,10.405,5.366,0,1.661,0
0,0,0,4,1,3.5931,0,3.764,0,0.861,0,10.084,5.027,0,0.984,0
0,0,0,4,1,3.5985,0,4.233,0,1.846,0,10.866,5.295,0,3.082,0
0,0,1,0,0,2.8657,0,3.134,0,0.811,0,8.318,4,0,1,0
0,0,1,0,0,3.9599,0,3.347,0,0.918,0,9.771,5.086,0,1.372,0
0,0,1,0,0,1.599,0,3.78,0,3.974,0,9.949,4.236,0,8.475,1
0,8,5,4,1,2.7525,6,4.14,0,1.251,0,11.115,5.31,0,3.069,0
0,0,0,0,0,2.5664,0,2.022,0,0,0,7.286,3,0,0.444,1
0,0,1,3,0,2.4398,0,3.558,0,0.544,0,10.15,4.732,0,2.919,0
1,5,0,4,0,2.0284,4,4.44,0,0.636,0,11.127,5.28,1,2.585,0
1,0,1,2,0,3.4001,0,3.493,0,1.16,0,10.388,5.313,0,1.833,1
3,1,1,0,0,3.0457,1,2.68,0,1.459,0,8.755,4.214,0,2.052,1
0,0,1,2,0,2.3877,0,3.828,0,1.202,0,10.306,5.006,0,2.163,0
2,2,0,0,0,2.931,4,3.052,0,0.875,0,9.54,4.562,0,1.14,0
3,6,2,3,0,2.2884,7,3.986,0,1.426,0,10.632,4.914,0,4.181,0
1,6,0,2,0,3.136,6,3.196,0,0,1,9.805,4.802,0,0.95,0
4,1,3,0,0,3.8074,3,2.89,0,1.406,0,9.967,5.236,0,1.309,0
0,0,2,0,0,2.3783,0,3.605,0,1.585,0,8.16,3.732,1,2.488,0
1,0,2,0,0,6.591,0,4.01,0,1.617,0,11.591,6.177,0,2.885,0
1,0,0,3,1,3.0864,0,3.735,0,1.662,0,10.15,4.856,0,2.83,0
0,0,0,2,0,2.7291,0,3.266,0,0.664,0,10.037,4.923,0,1.057,1
0,0,9,0,0,4.2584,0,3.51,0,1.842,0,10.987,5.359,0,3.775,0
0,0,3,0,0,2.6157,0,3.133,0,0.861,0,10.335,5.256,0,1.037,0
2,0,8,8,0,2.6091,0,4.144,0,1.006,0,11.361,5.395,0,3.714,0
0,0,0,4,0,2.7382,0,3.556,0,0,0,10.384,5.014,0,1.305,0
1,0,2,0,0,2.4062,0,2.555,0,1.585,0,8.16,3.732,0,2.488,1
4,4,0,2,0,3.4071,3,3.492,0,1.16,0,10.388,5.313,0,1.833,0
1,0,0,5,1,3.0834,0,3.754,0,0.773,0,10.418,5.177,0,1.085,0
0,0,0,2,1,2.4754,0,3.392,0,0.664,0,9.946,4.923,0,1.563,0
2,0,1,0,0,3.1338,0,3.72,0,2.911,0,10.229,5.098,0,6.651,1
0,2,0,0,0,1.7397,4,4.217,0,0.548,0,10.477,4.792,0,5.633,0
0,0,0,2,0,1.8308,0,4.049,0,0.49,0,10.803,5.089,0,4.39,1
1,2,1,1,0,2.5935,2,3.298,0,1.705,0,9.722,4.543,0,2.905,1
2,9,0,2,0,2.6247,4,3.601,0,1.489,1,10.297,4.802,0,2.684,0
2,8,0,4,1,2.3287,6,3.89,0,0.625,0,10.367,4.845,0,3.574,0
0,0,2,0,0,3.5866,0,3.699,0,2.948,0,9.956,4.411,0,6.131,1
0,0,3,3,0,3.1717,0,3.075,0,0.881,0,9.833,4.807,0,1.06,0
0,3,0,2,0,2.7726,2,3.772,0,1.506,0,10.698,5.389,0,2.22,0
2,3,0,0,0,3.2496,3,2.883,0,0.802,0,9.183,4.414,0,0.975,0
3,0,21,18,0,2.107,0,4.889,0,0.97,0,12.308,5.493,0,3.898,0
0,0,0,4,0,2.6689,0,3.647,0,0,0,10.384,5.014,0,1.305,0
0,0,1,2,1,2.9372,0,3.37,0,1.261,0,9.714,4.641,0,1.783,0
1,0,1,2,0,3.2457,0,3.239,0,1.185,0,9.911,4.923,0,1.563,1
0,0,0,0,0,2.6696,0,2.709,0,0.862,0,9.067,4.303,0,0.956,1
0,0,2,0,0,3.402,0,4.486,0,4.297,0,10.675,4.412,0,15.507,1
0,2,3,2,0,3.0393,3,3.509,0,1.733,0,10.236,4.971,0,2.585,0
0,0,0,8,0,2.7457,0,5.261,0,0.749,0,10.806,5.096,1,3.141,0
4,0,0,0,0,4.9033,0,3.504,0,1.669,0,10.487,5.421,0,2.211,1
0,0,0,0,1,1.665,0,4.84,0,0.692,0,12.114,5.993,0,2.191,0
2,0,0,10,1,2.7448,0,4.379,0,0.74,0,10.991,5.221,0,3.068,0
3,0,2,0,0,2.1848,1,2.211,0,1,0,7.408,3.414,0,1.707,1
0,0,3,2,0,3.0313,0,3.164,0,1.185,0,9.911,4.923,0,1.563,0
3,10,2,4,0,2.3994,4,3.793,0,0.662,0,10.516,4.876,0,4.008,0
2,0,0,2,0,3.1445,0,3.261,0,1.185,0,9.882,4.77,0,1.74,1
0,0,1,0,0,3.756,0,3.4,0,0.722,0,9.657,5,0,0.8,0
3,8,0,9,0,2.0989,6,4.31,1,0.82,1,11.288,5.468,0,2.801,0
0,16,0,6,1,2.3939,14,4.393,1,1.709,0,10.966,5.054,0,5.285,0
1,0,4,3,0,3.2786,0,3.351,0,1.124,0,10.524,5.375,0,1.671,0
0,0,2,0,0,2.5866,0,3.232,0,1.455,0,9.928,4.821,0,2.209,1
0,0,0,0,0,2.039,0,3.196,0,0,0,10.284,5,0,0.912,0
1,12,1,5,0,2.2119,10,3.826,0,0.604,3,10.853,5.199,0,2.47,0
0,0,4,0,0,5.7766,0,5.191,0,4.189,0,11.504,5.342,0,7.261,0
0,0,0,0,0,3.1116,0,2.995,0,2.281,0,8.743,3.879,0,3.685,0
1,2,2,0,0,2.9244,2,3.545,0,3.146,0,9.522,3.966,0,6.909,1
1,4,1,4,0,3.9184,4,3.649,2,1.197,0,10.456,5.103,0,1.74,0
0,2,0,3,1,3.6476,2,3.647,1,1.16,0,10.099,4.965,0,1.553,0
2,0,0,0,1,3.0045,0,4.318,0,1.053,0,11.51,5.995,0,1.075,0
0,6,0,0,0,1.8929,4,3.526,0,0,0,10.054,4.562,0,4.13,0
0,0,3,4,0,2.4109,0,3.66,0,0.703,0,10.481,5.077,0,2.693,0
3,0,0,0,0,3.9139,0,3.138,0,1.436,0,9.666,4.691,0,2.428,1
2,11,3,0,1,3.2336,3,3.637,0,1.59,0,10.18,4.816,0,2.457,0
0,0,0,0,0,3.2655,0,2.488,0,0.971,0,8.597,4.17,0,1.542,0
3,6,0,9,1,2.1249,4,4.622,0,0.824,0,11.344,5.387,0,5.31,0
0,0,0,2,0,3.0864,0,3.571,0,1.59,0,10.236,4.876,0,2.573,1
0,0,4,0,0,3.995,0,3.987,0,3.022,0,10.465,4.752,0,8.486,1
0,0,0,1,1,2.8489,0,3.549,0,1.187,0,9.642,4.732,0,1.659,0
0,0,1,0,0,3.0077,0,3.477,0,2.79,0,9.619,4.347,0,5.864,1
1,0,0,2,0,3.1517,0,3.118,0,1.187,0,9.631,4.607,0,1.544,1
0,0,2,0,0,3.2893,0,2.793,0,1.557,0,8.891,4.228,0,2.535,1
0,0,0,1,0,3.0778,0,2.99,0,1.125,0,9.311,4.499,0,1.481,1
1,0,6,3,0,3.3208,0,3.66,0,1.494,0,10.995,5.466,0,2.399,0
2,6,0,0,0,1.7937,4,3.673,0,0.5,0,10.219,4.694,0,3.872,0
2,0,4,0,0,3.9327,0,3.168,0,1.823,0,10.13,5.311,0,2.301,0
0,0,0,0,0,1.9254,0,3.092,0,0,0,9.863,4.861,0,1.047,0
1,0,0,5,1,3.7467,0,3.825,0,0.832,0,10.265,5.119,0,0.952,0
0,8,0,4,0,1.1387,8,4.322,0,0,0,11.129,4.919,0,5.538,0
1,0,4,0,0,3.6085,0,2.876,0,1.5,0,9.872,5.098,0,2.472,0
3,9,3,0,0,3.4146,3,3.792,0,1.622,0,10.617,5.286,0,1.615,0
0,0,3,0,0,3.3317,0,3.027,0,1.837,0,9.389,4.303,0,3.193,1
0,0,0,2,1,3.3007,0,3.373,0,0.875,0,9.579,4.732,0,0.854,0
0,0,3,0,0,4.7145,0,3.375,0,1.868,0,10.091,5.259,0,1.836,0
2,0,1,0,0,3.021,1,4.279,0,0.971,0,8.597,4.17,0,1.542,0
1,0,3,0,0,2.4328,0,3.227,0,0.845,0,10.926,5.814,0,0.811,1
3,0,3,0,0,3.6846,3,3.109,0,1.895,0,9.292,4.481,0,2.02,0
2,0,4,0,0,4.066,0,4.229,0,1.392,0,10.053,5.303,1,1.164,0
1,2,1,2,0,3.0494,2,3.08,0,1.187,0,9.631,4.642,0,1.487,0
0,0,1,1,0,2.9815,0,3.102,0,1.187,0,9.642,4.732,0,1.659,0
1,2,2,2,0,2.9046,3,3.786,0,1.875,0,10.281,4.829,0,3.31,1
1,0,0,0,0,3.6206,0,2.612,0,0.971,0,8.597,4.17,0,1.542,1
1,0,0,2,0,2.2675,0,3.703,0,0.625,0,10.385,5.035,0,3.098,1
0,0,10,0,0,4.9583,0,3.781,0,2.161,0,11.219,5.283,0,5.013,0
2,0,0,0,0,4.0085,0,3.146,0,1.436,0,9.666,4.691,0,2.428,1
6,9,0,0,0,3.6508,0,3.146,0,0.881,0,9.803,4.732,0,0.95,0
0,0,0,2,0,3.1356,0,4.225,0,0.875,0,9.54,4.562,1,1.14,0
1,2,0,2,0,3.0226,3,3.174,0,0,1,9.805,4.802,0,0.95,1
1,0,0,3,0,2.3785,0,3.716,0,0.625,0,10.35,4.844,0,3.405,1
