f,g,h,I,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x
0,12,4,0,0,0,0,1.159,4,7.491,0,0,0,4.1328,3.472,0,0,1.044,0
0,4,1,0,0,2,0,1.116,1,8.277,0,0,0,3.0868,2.8,0,0,1.248,1
0,0,0,0,0,4,0,1.11,3,8.682,0,0,0,2.4193,1.875,0,0,1.324,0
0,15,0,0,0,6,0,1.117,6,9.741,0,0,0,2.0991,2.135,0,0,1.284,0
0,6,3,0,0,4,0,1.113,0,9.674,1,2,2,3.1356,2.906,0,0,1.28,0
0,0,5,0,0,0,1,1.183,0,8.14,3,0,1,3.3271,3.167,0,0,1.193,0
0,3,1,0,0,2,0,1.114,0,8.14,0,0,0,2.9639,2.383,0,0,1.29,1
0,4,0,1,0,3,0,1.117,0,9.118,1,2,2,3.54,3.202,2,1,1.296,0
0,0,0,0,0,2,0,1.079,0,9.455,2,4,2,2.3043,2.25,0,0,1.438,0
0,0,0,0,0,0,0,1.377,3,9.745,1,3,3,9.1775,5.825,27,0,0.883,0
0,4,1,0,0,2,0,1.122,0,8.062,0,0,0,3.3094,2.537,0,0,1.216,1
0,0,0,0,0,0,0,1.125,1,8.925,0,0,0,3.9599,3.764,3,0,1.32,0
0,10,0,0,0,2,0,1.125,2,8.642,0,0,0,3.2754,2.667,0,0,1.21,1
0,15,0,0,0,2,0,1.123,2,9.497,0,0,0,2.3744,2.179,0,0,1.258,0
0,0,1,0,0,1,0,1.127,0,7.846,1,2,2,2.9639,2.021,0,0,1.266,0
0,1,1,0,0,0,0,1.13,1,7.035,0,0,0,2.6294,3.5,0,0,1.215,1
0,6,1,1,0,7,1,1.117,1,9.333,3,11,8,2.3232,2.594,0,0,1.282,0
0,0,1,0,0,0,0,1.135,1,9,0,0,0,4.373,4.036,3,0,1.244,0
0,8,2,0,0,6,0,1.121,4,9.158,2,6,8,2.3533,2.292,0,0,1.276,0
0,7,2,0,0,0,0,1.133,2,8.441,1,2,3,3.5506,3.014,0,0,1.204,1
0,0,0,0,0,0,0,1.141,1,7.617,1,1,1,2.7284,2.1,0,0,1.233,1
0,2,2,0,0,0,1,1.153,0,8.026,2,2,4,2.931,3.292,0,0,1.166,0
0,0,0,0,0,2,0,1.109,2,8.77,0,0,0,2.1651,1.931,0,0,1.317,0
0,8,0,0,0,0,0,1.121,2,9.944,1,1,2,3.576,2.554,3,1,1.316,0
0,8,0,0,0,0,0,1.125,3,8.688,0,0,0,2.1089,2.353,0,0,1.237,0
0,2,2,0,0,0,0,1.148,4,7.93,1,1,6,2.8292,2.121,0,0,1.202,0
0,0,1,0,0,0,0,1.162,2,5.86,0,0,0,1.8205,3.167,0,0,1.06,1
0,4,0,0,0,3,0,1.122,0,8.641,0,0,0,3.3466,2.374,1,1,1.25,0
0,2,1,0,0,3,0,1.109,0,8.515,1,3,3,3.0607,2.364,0,0,1.295,0
0,6,0,0,0,0,0,1.139,2,8.202,0,0,0,4.7233,3.152,0,0,1.163,1
0,0,0,0,0,0,0,1.149,2,7.58,1,2,3,2.3348,1.833,0,0,1.17,0
0,6,0,0,0,0,0,1.135,1,8.185,0,0,0,2.409,2.667,0,0,1.157,1
0,12,6,0,0,6,0,1.121,0,10.25,2,4,4,2.6779,3.16,0,0,1.244,0
0,0,0,0,0,1,0,1.129,0,7.982,1,2,2,3.0271,1.963,0,0,1.27,0
0,7,0,0,0,1,0,1.115,1,9.789,0,0,0,3.2179,2.42,0,0,1.309,0
0,5,2,0,0,2,0,1.113,0,8.961,2,6,4,2.3056,2.469,0,0,1.277,0
0,1,3,0,0,1,0,1.136,0,8.2,2,3,2,2.9033,2.683,0,0,1.231,0
0,2,3,0,0,0,0,1.166,1,7.365,1,1,1,3.0457,3.611,0,0,1.08,1
0,8,2,0,0,2,0,1.116,0,8.529,0,0,0,3.2502,3.389,0,0,1.194,1
0,0,4,0,0,0,0,1.155,4,8.334,2,4,6,4.7731,2.517,0,0,1.142,0
0,0,1,0,0,0,0,1.158,0,6.951,1,0,2,2.2975,2,0,0,1.095,0
1,4,0,0,1,2,0,1.108,1,12.279,0,0,0,2.2721,2.107,2,0,1.308,0
0,8,0,1,0,5,0,1.107,0,9.395,1,2,2,2.5104,2.781,2,1,1.295,0
0,11,1,2,0,4,0,1.144,1,8.984,2,4,4,3.9184,3.619,0,0,1.195,0
1,0,0,0,1,12,0,1.022,0,13.877,0,0,0,3.1295,2.159,10,0,1.617,0
0,2,0,0,0,0,0,1.145,3,7.817,0,0,0,3.9762,2.546,0,0,1.177,0
0,21,1,0,0,0,0,1.133,1,8.813,0,0,0,5.581,3.083,0,0,1.169,0
0,0,0,0,0,0,0,1.121,0,7.627,1,1,2,3.1669,2.167,0,0,1.287,1
1,2,1,0,1,2,0,1.1,0,11.593,0,0,0,3.173,2.51,1,0,1.347,0
0,5,0,0,0,2,0,1.098,0,8.427,0,0,0,2.7414,2.5,0,0,1.279,1
0,6,1,0,0,2,0,1.132,2,8.464,1,1,0,3.2319,2.381,0,0,1.222,0
0,4,2,1,0,2,0,1.14,0,8.506,2,4,4,3.4398,3.133,0,0,1.224,0
0,0,4,0,0,2,0,1.14,0,7.969,2,4,4,3.1297,2.417,0,0,1.242,0
0,0,0,0,0,0,0,1.141,2,7.59,0,0,0,2.8079,1.567,0,0,1.208,1
0,40,4,0,0,16,0,1.129,24,10.292,0,0,0,1.8973,2.266,0,0,1.236,0
0,4,2,0,0,2,0,1.125,1,9.496,1,2,1,3.3759,2.932,0,0,1.27,0
0,7,1,0,0,0,0,1.142,4,9.174,0,0,0,4.3575,2.149,0,0,1.2,0
0,0,2,0,0,0,0,1.166,0,6.883,2,0,4,2.1902,1.833,0,0,1.107,0
1,12,0,0,0,0,0,1.119,3,13.367,0,0,0,5.1487,2.39,6,0,1.379,0
0,3,2,0,0,0,0,1.151,4,7.861,0,0,0,3.906,2.577,0,0,1.107,0
0,11,2,0,0,5,0,1.121,2,9.097,1,2,4,2.5182,2.638,0,0,1.236,0
0,2,1,0,0,0,0,1.13,1,7.828,0,0,0,3.6203,3.083,0,0,1.207,1
0,2,1,0,0,0,0,1.138,0,8.414,0,0,0,2.9879,1.987,0,0,1.205,1
0,1,1,0,0,0,0,1.151,2,7.456,0,0,0,3.1183,2.318,0,0,1.116,1
0,0,1,0,0,0,0,1.156,2,6.802,0,0,0,2.7566,2.667,0,0,1.077,1
0,1,1,0,0,0,0,1.333,2,9.463,0,0,0,7.4499,5.628,20,0,0.906,0
0,0,2,0,0,0,0,1.141,0,7.834,2,2,4,3.223,2.381,0,0,1.256,0
0,0,2,0,0,0,0,1.157,2,6.599,1,1,1,2.3761,2,0,0,1.152,1
0,0,0,0,0,2,0,1.106,1,8.517,0,0,0,2.9372,2.194,1,1,1.331,0
0,2,0,0,0,0,0,1.139,2,7.758,0,0,0,3.4137,3.262,0,0,1.209,1
0,5,0,0,0,2,0,1.104,0,8.33,0,0,0,2.7291,2.5,0,0,1.266,1
0,6,0,1,0,2,0,1.132,0,8.549,1,2,2,3.3148,2.985,0,0,1.211,0
0,6,1,1,0,2,0,1.13,0,8.516,1,2,2,3.3837,3.333,0,0,1.212,0
0,8,1,0,0,4,0,1.135,7,9.163,0,0,0,2.1976,1.943,0,0,1.225,0
0,10,0,0,0,0,0,1.137,2,8.578,0,0,0,3.9619,2.775,0,0,1.184,1
0,8,0,0,0,0,0,1.123,1,8.396,0,0,0,2.3633,2.681,0,0,1.215,0
0,6,0,0,0,0,0,1.138,2,8.459,0,0,0,3.122,1.931,0,0,1.21,1
0,8,0,0,0,0,0,1.118,1,8.551,0,0,0,2.1504,2.564,0,0,1.256,0
0,0,1,0,0,4,0,1.128,2,8.931,1,6,4,1.9231,1.73,0,0,1.265,0
0,8,0,0,0,5,0,1.084,0,9.176,0,0,0,2.3664,2.575,1,1,1.325,0
0,6,0,0,0,0,0,1.145,2,8.051,0,0,0,3.9936,2.985,0,0,1.142,1
0,2,1,0,0,3,0,1.103,0,8.87,0,0,0,3.3875,2.802,2,1,1.317,0
0,0,0,0,0,0,0,1.137,2,8.202,0,0,0,2.8789,1.617,0,0,1.238,0
0,0,0,0,0,0,0,1.125,1,7.937,0,0,0,3.2848,1.958,0,0,1.304,0
0,8,2,0,0,4,0,1.104,0,8.915,0,0,0,2.6755,3,0,0,1.254,0
0,0,0,0,0,2,0,1.084,0,9.532,0,0,0,2.1816,2.15,2,1,1.449,0
0,0,0,0,0,4,0,1.089,0,9.13,0,0,0,2.6588,2.206,2,1,1.364,0
0,0,0,0,0,0,0,1.131,2,9.051,0,0,0,3.7343,2.956,4,1,1.305,0
0,9,0,1,0,5,1,1.123,0,9.537,5,14,13,1.767,2.576,0,0,1.261,0
0,6,0,0,0,2,0,1.131,2,8.337,0,0,0,2.7759,1.958,0,0,1.217,0
0,0,2,0,0,0,0,1.133,0,8.563,2,2,1,3.3609,2.417,0,0,1.35,0
0,1,1,0,0,1,0,1.125,1,8.187,1,2,3,2.8754,2.483,0,0,1.264,1
0,0,0,0,0,0,0,1.145,1,8.295,1,1,2,3.3847,2.167,0,0,1.187,1
1,4,0,0,1,4,0,1.093,2,13.183,0,0,0,3.1467,2.135,5,0,1.461,0
0,0,0,0,0,4,0,1.083,0,8.661,0,0,0,2.6427,1.889,0,0,1.391,0
0,0,1,0,0,0,0,1.161,2,6.432,1,0,2,2.3911,1.9,0,0,1.129,1
0,4,0,1,0,2,0,1.124,1,8.81,1,2,2,3.1979,2.995,1,1,1.26,0
0,2,4,0,0,0,1,1.219,0,8.139,4,0,1,4.3883,4.167,0,0,1.074,0
0,4,2,0,0,0,0,1.146,0,7.994,0,0,0,3.167,3.533,0,0,1.114,1
0,5,0,0,0,0,0,1.145,3,8.131,1,0,3,4.0313,2.372,0,0,1.184,1
0,3,0,0,0,2,0,1.126,2,8.497,0,0,0,2.0469,1.967,0,0,1.215,0
0,8,0,0,0,0,0,1.13,1,8.289,0,0,0,2.2586,2.611,0,0,1.195,0
0,0,4,0,0,6,0,1.114,0,9.228,2,4,4,2.5599,2.389,2,1,1.323,0
0,0,2,0,0,4,1,1.114,0,9.172,2,8,6,2.3287,2.243,2,1,1.32,0
0,0,0,0,0,0,0,1.119,0,8.128,1,0,0,3.4592,2.792,0,0,1.384,0
0,9,4,0,0,5,0,1.117,0,9.706,1,2,2,2.9948,3.078,0,0,1.254,0
0,4,0,0,0,0,0,1.139,1,7.952,0,0,0,3.1896,2.282,0,0,1.195,1
0,12,0,1,0,3,0,1.127,1,9.707,1,3,2,3.4588,2.822,0,0,1.273,0
0,3,2,0,0,0,0,1.166,0,7.873,2,0,2,2.9195,3.405,0,0,1.127,1
0,3,0,0,0,0,0,1.148,0,7.624,1,0,2,2.7156,2.452,0,0,1.19,1
0,2,1,0,0,3,0,1.098,0,8.487,0,0,0,2.8789,2.273,0,0,1.319,1
0,12,6,0,0,4,2,1.134,0,10.183,4,6,2,2.4228,3,0,0,1.236,0
0,3,1,0,0,2,0,1.126,2,8.548,1,3,3,2.7215,2.619,0,0,1.259,1
0,2,2,0,0,0,0,1.156,2,6.732,0,0,0,2.477,3,0,0,1.069,1
0,4,0,0,0,2,0,1.13,3,8.44,1,2,3,3.0393,2.214,0,0,1.251,0
0,0,2,0,0,0,0,1.141,0,7.838,2,3,3,3.2496,2.381,0,0,1.253,0
0,12,0,3,0,6,0,1.146,5,9.375,3,12,6,4.6158,3.298,0,0,1.214,0
0,5,1,0,0,7,1,1.121,2,9.956,5,14,13,1.8267,2.444,1,1,1.277,0
0,0,0,0,0,2,0,1.121,2,8.015,0,0,0,2.7973,1.833,0,0,1.279,0
0,4,0,0,0,3,0,1.104,1,8.573,0,0,0,2.4398,2.036,0,0,1.31,0
0,8,0,2,0,4,0,1.171,3,9.257,3,8,8,4.1216,3.475,3,0,1.142,0
0,1,0,0,0,0,0,1.142,3,7.473,0,0,0,3.1682,2.5,0,0,1.224,1
0,0,0,0,0,0,0,1.159,0,7.645,2,0,2,3.3475,1.955,0,0,1.163,0
0,0,0,0,0,0,0,1.148,4,7.198,0,0,0,3.4168,2.024,0,0,1.18,0
0,3,2,0,0,2,0,1.137,0,8.751,3,9,4,2.6247,2.512,0,0,1.245,0
0,8,2,2,0,3,0,1.153,0,8.92,3,6,6,3.7647,3.615,0,0,1.194,0
0,2,7,0,0,0,0,1.173,0,8.143,4,4,3,3.6462,3.097,0,0,1.104,1
0,10,0,0,0,4,0,1.111,0,8.958,0,0,0,2.5966,2.611,0,0,1.254,0
0,0,0,0,0,0,0,1.161,0,7.767,3,0,4,3.6265,1.833,0,0,1.182,0
0,2,0,0,0,0,0,1.127,2,9.84,0,0,0,4.3135,2.97,8,1,1.321,0
0,4,1,0,0,3,0,1.125,0,8.579,0,0,0,1.8559,1.825,0,0,1.238,0
0,6,2,0,0,0,0,1.139,0,8.128,0,0,0,4.0085,3.944,0,0,1.141,1
0,1,1,0,0,1,0,1.127,1,8.223,1,2,2,2.5935,2.394,0,0,1.253,1
0,8,1,0,0,0,0,1.147,2,9.066,0,0,0,3.9866,2.6,0,0,1.158,0
0,0,0,0,0,4,0,1.091,0,8.882,0,0,0,1.9515,1.926,0,0,1.345,0
0,0,0,0,0,1,0,1.123,3,8.128,0,0,0,2.9284,1.856,0,0,1.279,0
0,1,0,0,0,0,0,1.149,2,7.677,0,0,0,3.3919,2.685,0,0,1.124,1
0,2,6,0,0,0,0,1.173,2,8.19,4,8,2,4.5316,3.083,0,0,1.117,1
0,2,1,0,0,3,0,1.113,1,8.562,0,0,0,3.3155,2.568,1,1,1.296,0
0,0,0,0,0,0,0,1.139,0,8.179,2,6,4,1.8929,1.744,0,0,1.209,0
0,0,0,0,0,0,0,1.125,1,7.817,1,2,2,3.1554,2.095,0,0,1.298,0
0,4,0,0,0,0,0,1.14,2,8.51,0,0,0,3.2291,1.789,0,0,1.199,1
0,12,3,0,0,9,0,1.108,0,10.284,2,6,4,2.1249,2.823,4,1,1.296,0
0,8,0,0,0,5,0,1.104,3,9.069,0,0,0,2.2507,2.346,0,0,1.303,0
0,2,1,0,0,2,0,1.108,0,8.473,0,0,0,3.1971,2.681,1,1,1.291,0
0,0,0,0,0,0,0,1.136,2,8.704,0,0,0,3.0128,2.778,3,1,1.28,0
0,8,0,0,0,0,0,1.12,0,8.297,0,0,0,2.3934,2.773,0,0,1.204,0
0,0,0,0,0,0,0,1.131,0,8.76,2,4,0,2.7734,2.019,0,0,1.334,0
0,6,2,0,0,6,0,1.123,4,9.307,2,8,6,2.2627,2.595,0,0,1.267,0
0,6,2,0,0,10,0,1.095,0,9.891,0,0,0,2.7448,2.802,6,1,1.336,0
0,0,0,0,0,0,0,1.125,0,7.542,0,0,0,2.3714,1.854,0,0,1.266,0
0,7,1,0,0,4,0,1.131,1,9.042,1,3,3,3.2862,2.728,1,1,1.23,0
1,4,0,0,1,12,0,1.03,0,13.877,0,0,0,3.0431,2.217,10,0,1.583,0
0,4,0,1,0,2,0,1.127,1,8.497,1,2,2,3.3176,2.933,0,0,1.253,0
0,3,1,0,0,6,2,1.128,6,9.254,3,12,10,2.4473,2.104,0,0,1.289,0
0,0,1,0,0,2,0,1.122,3,8.475,1,3,5,2.628,1.904,0,0,1.3,0
0,0,1,0,0,0,0,1.151,0,6.823,1,1,2,2.1142,1.667,0,0,1.138,1
0,0,0,0,0,0,0,1.114,2,9.531,0,0,0,4.6399,3.396,6,0,1.392,0
0,6,0,0,0,2,0,1.07,0,9.511,2,2,2,2.228,2.8,0,0,1.377,0
0,0,0,0,0,0,0,1.119,0,7.805,0,0,0,2.1315,1.685,0,0,1.308,0
0,0,1,0,0,0,0,1.154,1,7.529,0,0,0,3.2139,2.5,0,0,1.091,1
0,3,1,0,0,0,0,1.135,2,8.257,0,0,0,2.2523,2.283,0,0,1.209,1
0,1,2,0,0,0,0,1.164,1,6.762,1,1,1,2.5972,2.333,0,0,1.105,0
0,0,2,0,0,0,0,1.161,3,7.03,1,0,3,3.1241,2.25,0,0,1.176,0
0,0,0,0,0,2,0,1.121,2,8.28,0,0,0,2.3662,1.731,0,0,1.293,0
0,2,2,0,0,5,0,1.111,0,9.469,2,6,4,2.209,2.544,3,1,1.318,0
0,2,0,0,0,0,0,1.134,0,7.446,0,0,0,2.2808,2.31,0,0,1.197,1
0,3,1,0,0,7,2,1.124,4,9.38,3,12,10,2.419,2.229,1,1,1.303,0
0,2,1,0,0,5,0,1.095,0,9.376,0,0,0,3.7467,2.98,4,1,1.344,0
0,0,1,0,0,0,0,1.164,1,6.954,1,0,1,2.9483,2.5,0,0,1.127,1
0,2,0,0,0,2,1,1.115,0,8.668,2,8,6,2.595,2.356,0,0,1.29,0
0,0,0,0,0,0,0,1.155,0,7.652,2,2,2,3.0445,1.75,0,0,1.191,0
0,1,1,0,0,0,0,1.156,1,6.989,0,0,0,3.0057,2.722,0,0,1.104,1
1,2,1,0,1,3,0,1.088,0,12.274,0,0,0,3.3439,2.5,2,0,1.415,0
0,0,0,0,0,0,0,1.143,2,7.029,0,0,0,2.5951,1.611,0,0,1.202,1
0,6,0,0,0,1,0,1.123,2,9.666,2,3,3,3.3444,2.463,0,0,1.296,0
0,3,0,0,0,0,0,1.139,1,7.598,0,0,0,3.6944,2.952,0,0,1.178,1
0,0,0,0,0,0,0,1.144,1,8.225,0,0,0,1.9808,3.241,2,0,1.306,0
0,1,1,0,0,0,0,1.142,2,7.119,0,0,0,2.8425,2.357,0,0,1.169,1
0,0,0,0,0,0,0,1.129,1,8.437,0,0,0,3.16,2.676,2,1,1.308,0
0,6,1,0,0,2,0,1.116,1,9.506,0,0,0,3.4001,3.114,0,0,1.257,1
0,2,0,0,0,0,0,1.163,0,7.151,1,0,0,3.2655,3,0,0,1.161,0
0,0,0,0,0,0,0,1.147,3,7.567,1,3,3,3.6686,1.654,0,0,1.197,0
0,1,1,0,0,0,0,1.143,2,7.552,0,0,0,2.7989,1.857,0,0,1.18,1
0,3,0,0,0,0,0,1.103,0,9.843,0,0,0,1.8789,2.355,6,1,1.332,0
0,2,3,0,0,0,0,1.164,2,6.978,0,0,0,3.0634,3.722,0,0,0.995,1
0,0,0,0,0,0,0,1.116,0,7.964,1,1,2,3.0701,2.208,0,0,1.299,0
0,2,0,0,0,1,0,1.127,1,8.286,1,2,3,3.0875,2.394,0,0,1.258,0
0,4,1,1,0,3,0,1.137,0,8.841,3,6,6,2.9714,2.875,0,0,1.273,0
0,2,1,0,0,3,0,1.103,0,8.868,0,0,0,3.3803,2.802,2,1,1.328,0
0,2,0,0,0,0,0,1.147,2,7.465,0,0,0,3.2893,2.738,0,0,1.14,1
0,0,0,0,0,0,0,1.128,3,7.981,0,0,0,2.6687,1.75,0,0,1.264,1
0,14,0,0,0,2,0,1.125,0,8.91,0,0,0,1.8308,2.222,0,0,1.213,1
0,4,0,0,0,0,0,1.138,2,8.397,0,0,0,3.2243,1.903,0,0,1.203,1
0,0,4,0,0,6,0,1.116,0,9.239,2,4,4,2.291,2.337,2,1,1.32,0
0,4,1,0,0,0,0,1.136,3,8.05,0,0,0,2.4328,1.97,0,0,1.223,1
0,2,0,0,0,0,0,1.147,2,8.003,0,0,0,3.3944,2.405,0,0,1.137,1
0,0,0,0,0,0,0,1.133,1,7.564,1,2,1,3.3821,3.033,0,0,1.332,1
0,0,2,0,0,3,0,1.129,2,8.095,1,2,2,3.2078,2.111,0,0,1.298,0
0,0,0,0,0,5,0,1.08,0,9.517,0,0,0,3.736,2.808,5,1,1.405,0
0,1,0,0,0,0,0,1.141,4,7.751,0,0,0,3.5878,2.258,0,0,1.237,0
0,1,1,0,0,0,0,1.147,1,7.243,0,0,0,2.3717,2.405,0,0,1.141,1
0,3,0,0,0,0,0,1.103,0,9.843,0,0,0,1.8789,2.355,6,1,1.332,0
0,4,0,0,0,0,0,1.149,4,7.893,0,0,0,4.3332,2.769,0,0,1.138,0
0,5,1,0,0,0,0,1.144,1,8.09,0,0,0,3.3996,3.028,0,0,1.138,1
0,8,2,0,0,0,0,1.112,0,9.839,0,0,0,3.0045,3.355,6,1,1.278,0
0,4,4,0,0,0,0,1.161,0,8.015,1,1,2,3.8787,4.019,0,0,1.078,1
0,3,1,0,0,2,0,1.131,2,8.395,1,2,3,2.9071,2.423,0,0,1.229,0
0,0,2,0,0,4,0,1.108,0,8.934,2,8,8,1.8029,1.983,0,0,1.313,0
0,0,2,0,0,2,0,1.127,1,7.954,1,2,2,3.1276,2.167,0,0,1.291,0
0,0,0,0,0,4,0,1.125,0,9.366,2,8,8,1.1387,1.919,0,0,1.204,0
0,4,3,0,0,2,0,1.127,0,8.288,1,2,2,3.1187,3,0,0,1.219,1
0,6,0,0,0,0,0,1.139,2,8.196,0,0,0,4.1984,2.944,0,0,1.158,1
0,2,1,0,0,0,0,1.136,3,7.963,0,0,0,3.753,2.265,0,0,1.224,1
0,8,0,0,0,4,0,1.092,0,9.875,0,0,0,2.626,2.694,2,1,1.347,0
0,0,0,0,0,0,0,1.115,0,9.389,2,0,0,4.1448,2.194,0,0,1.399,0
0,0,1,0,0,0,0,1.152,2,7.601,0,0,0,3.2512,2.417,0,0,1.092,1
0,0,2,0,0,3,0,1.129,2,8.099,1,3,2,3.2147,2.111,0,0,1.288,0
0,6,2,0,0,4,0,1.132,7,8.662,0,0,0,3.5897,2.275,0,0,1.237,0
0,0,1,0,0,3,0,1.099,0,8.839,1,4,4,2.2543,1.944,0,0,1.354,0
0,2,0,0,0,0,0,1.13,3,8.072,0,0,0,2.8227,2.258,0,0,1.277,0
0,0,2,0,0,0,0,1.169,1,6.534,1,0,1,2.445,2.7,0,0,1.079,1
0,2,0,0,0,0,0,1.141,2,7.58,0,0,0,3.5147,1.939,0,0,1.193,0
0,6,1,1,0,4,0,1.123,0,9.175,1,2,2,3.8133,3.407,2,1,1.261,0
1,0,0,0,1,0,0,1.091,0,13.179,0,0,0,2.8937,2.155,6,1,1.534,0
0,2,2,0,0,2,0,1.132,0,8.042,1,2,2,3.1199,2.315,0,0,1.227,1
0,0,1,0,0,1,0,1.129,1,7.899,1,2,3,2.7655,1.963,0,0,1.264,0
0,0,0,0,0,0,0,1.128,3,7.934,0,0,0,2.5385,1.767,0,0,1.274,1
0,0,1,0,0,0,0,1.152,1,7.794,2,0,4,3.3382,2.194,0,0,1.289,0
0,6,5,0,0,0,0,1.161,2,7.66,0,0,0,3.9788,3.7,0,0,1.008,1
1,0,0,0,1,0,0,1.138,2,11.578,0,0,0,2.852,1.603,1,0,1.243,1
0,4,1,0,0,4,0,1.1,0,9.259,0,0,0,3.6483,3.139,3,1,1.31,0
0,6,2,0,0,0,0,1.147,4,7.569,0,0,0,3.9327,2.386,0,0,1.137,0
0,14,0,0,0,2,0,1.132,4,8.941,0,0,0,2.9203,2.19,0,0,1.21,1
0,0,0,0,0,0,0,1.141,2,8.127,0,0,0,2.7719,1.739,1,1,1.22,1
0,8,0,0,0,2,0,1.125,1,8.635,0,0,0,2.7876,2.667,0,0,1.217,1
0,14,1,3,0,4,0,1.156,0,9.217,3,6,6,4.1935,4.042,0,0,1.167,0
0,8,4,0,0,4,0,1.118,0,9.664,2,4,4,2.7057,2.681,0,0,1.29,0
0,0,2,0,0,0,0,1.161,3,8.773,5,11,3,3.2336,2.282,1,1,1.221,0
0,4,0,1,0,3,0,1.129,2,8.586,1,3,2,3.5846,2.818,0,0,1.26,0
0,4,1,0,0,0,0,1.147,1,7.864,1,2,1,3.4478,2.515,0,0,1.169,1
0,1,1,0,0,0,0,1.151,1,7.303,0,0,0,2.2197,2.767,0,0,1.018,1
0,3,1,0,0,7,2,1.127,6,9.454,3,12,10,2.4518,2.171,1,1,1.298,0
0,0,2,0,0,3,0,1.129,2,8.103,1,3,2,3.2927,2.111,0,0,1.286,0
0,0,2,0,0,0,0,1.161,2,6.385,1,1,1,2.2408,2.1,0,0,1.133,1
0,0,0,0,0,0,0,1.154,0,7.323,0,0,0,3.1116,2.278,0,0,1.107,0
0,6,2,0,0,4,0,1.103,0,9.123,2,6,8,1.9359,2.417,0,0,1.3,0
0,3,1,0,0,0,0,1.144,1,8.485,2,4,1,1.6696,1.819,0,0,1.175,0
0,0,5,0,0,0,0,1.179,2,6.869,3,0,4,2.6771,2.357,0,0,1.083,0
0,7,0,0,0,1,0,1.116,1,8.445,0,0,0,2.6951,2.462,0,0,1.264,1
0,2,0,0,0,2,0,1.117,2,8.238,0,0,0,2.9304,2.333,0,0,1.28,1
0,7,0,0,0,0,0,1.139,3,8.143,0,0,0,4.0218,2.262,0,0,1.203,1
0,0,0,0,0,0,0,1.141,2,8.35,0,0,0,2.7612,2.611,2,1,1.28,0
0,0,0,0,0,0,0,1.101,0,9.146,0,0,0,4.3417,3.296,4,0,1.384,0
0,2,1,0,0,0,0,1.34,1,9.274,0,0,0,7.1279,5.737,15,0,0.908,0
0,0,1,0,0,4,0,1.1,0,8.875,1,4,4,2.0578,1.951,0,0,1.34,0
0,4,1,0,0,2,0,1.121,2,8.382,0,0,0,2.9844,2.611,0,0,1.238,1
0,4,0,0,0,2,0,1.125,0,8.114,0,0,0,3.3386,2.233,0,0,1.219,1
0,12,0,0,0,0,0,1.144,3,9.152,0,0,0,4.5221,2.115,0,0,1.187,0
0,0,0,0,0,2,0,1.128,1,8.68,1,5,4,1.8996,1.938,0,0,1.204,0
0,12,0,0,0,0,0,1.162,0,8.939,6,27,0,4.0287,2.296,0,0,1.137,0
0,2,1,0,0,0,0,1.138,1,8.257,0,0,0,3.0785,2.083,0,0,1.199,1
0,2,1,0,0,0,0,1.146,3,7.748,0,0,0,3.6783,2.927,0,0,1.177,1
0,8,0,0,0,0,0,1.138,2,9.017,0,0,0,3.455,1.976,0,0,1.202,1
0,0,0,0,0,4,0,1.113,1,8.855,1,2,1,1.9828,2.033,0,0,1.311,0
0,12,3,0,0,18,0,1.125,21,9.962,0,0,0,2.107,2,0,0,1.283,0
0,4,2,0,0,4,0,1.114,0,8.859,0,0,0,2.1018,2.171,0,0,1.259,0
0,2,1,0,0,2,0,1.105,0,8.506,0,0,0,3.0008,2.352,0,0,1.302,0
0,4,2,0,0,1,0,1.123,0,9.463,1,2,1,3.4316,3.058,0,0,1.261,0
0,0,0,0,0,4,0,1.075,0,9.171,0,0,0,2.6689,1.885,0,0,1.419,0
0,0,0,0,0,0,0,1.128,3,8.065,0,0,0,2.2966,1.658,0,0,1.267,1
0,3,1,0,0,3,0,1.125,3,8.236,0,0,0,3.1448,2.212,0,0,1.268,0
0,16,4,0,0,0,0,1.151,2,8.325,2,2,2,1.89,2.154,0,0,1.132,0
0,2,2,0,0,0,0,1.156,2,6.914,0,0,0,2.9558,3.056,0,0,1.056,1
0,3,0,0,0,3,0,1.104,0,8.525,0,0,0,2.9255,2.042,0,0,1.315,0
0,0,0,0,0,0,0,1.262,2,9.044,0,0,0,4.8224,4.854,6,0,1.119,0
0,2,0,0,0,0,0,1.129,2,14.025,0,0,0,2.8894,2.055,0,0,1.45,0
0,4,1,0,0,4,0,1.123,3,8.242,0,0,0,3.4136,2.267,0,0,1.269,0
0,0,2,0,0,3,0,1.128,2,8.783,2,7,8,1.8876,1.856,0,0,1.269,0
0,6,1,0,0,6,0,1.095,0,9.567,1,2,2,3.1038,3.085,4,1,1.331,0
0,6,1,0,0,2,0,1.104,0,8.718,0,0,0,2.2675,2.458,0,0,1.277,1
0,0,0,0,0,0,0,1.143,4,8.51,0,0,0,3.7332,2.377,2,1,1.208,0
0,0,0,0,0,3,0,1.09,0,14.03,1,0,0,2.1601,1.943,0,0,1.471,0
0,2,0,0,0,2,0,1.107,0,8.669,0,0,0,2.4754,2.178,1,1,1.271,0
1,0,0,0,1,0,0,1.112,0,13.359,0,0,0,2.6622,1.861,6,0,1.452,0
